{Epoch 0, Train_Loss: 27.01753807067871, Valid_Loss: 29.58995246887207, Accuracy: 16.730621642363776},
{Epoch 1, Train_Loss: 27.714237213134766, Valid_Loss: 30.774072647094727, Accuracy: 15.425940138142748},
{Epoch 2, Train_Loss: 25.018939971923828, Valid_Loss: 29.09915542602539, Accuracy: 15.732924021488872},
{Epoch 3, Train_Loss: 31.181978225708008, Valid_Loss: 28.041507720947266, Accuracy: 17.075978511128167},
{Epoch 4, Train_Loss: 24.328886032104492, Valid_Loss: 28.479970932006836, Accuracy: 15.425940138142748},
{Epoch 5, Train_Loss: 29.835514068603516, Valid_Loss: 27.167757034301758, Accuracy: 14.927091327705295},
{Epoch 6, Train_Loss: 28.408672332763672, Valid_Loss: 28.282733917236328, Accuracy: 16.270145817344588},
{Epoch 7, Train_Loss: 32.49048614501953, Valid_Loss: 34.048240661621094, Accuracy: 15.195702225633154},
{Epoch 8, Train_Loss: 25.16994857788086, Valid_Loss: 31.92177963256836, Accuracy: 15.848042977743669},
{Epoch 9, Train_Loss: 24.952587127685547, Valid_Loss: 26.6356258392334, Accuracy: 15.771297006907137},
{Epoch 10, Train_Loss: 30.406024932861328, Valid_Loss: 29.634733200073242, Accuracy: 16.270145817344588},
{Epoch 11, Train_Loss: 26.93364143371582, Valid_Loss: 27.1529483795166, Accuracy: 15.080583269378357},
{Epoch 12, Train_Loss: 28.81748390197754, Valid_Loss: 24.364532470703125, Accuracy: 14.658480429777436},
{Epoch 13, Train_Loss: 33.795047760009766, Valid_Loss: 24.494897842407227, Accuracy: 16.270145817344588},
{Epoch 14, Train_Loss: 36.07594299316406, Valid_Loss: 30.479145050048828, Accuracy: 15.502686108979278},
{Epoch 15, Train_Loss: 26.79257583618164, Valid_Loss: 25.283178329467773, Accuracy: 15.464313123561013},
{Epoch 16, Train_Loss: 24.542123794555664, Valid_Loss: 27.291501998901367, Accuracy: 15.771297006907137},
{Epoch 17, Train_Loss: 25.100849151611328, Valid_Loss: 30.897798538208008, Accuracy: 16.768994627782043},
{Epoch 18, Train_Loss: 25.129663467407227, Valid_Loss: 31.149709701538086, Accuracy: 15.963161933998466},
{Epoch 19, Train_Loss: 22.873794555664062, Valid_Loss: 22.403900146484375, Accuracy: 15.848042977743669},
{Epoch 20, Train_Loss: 25.403583526611328, Valid_Loss: 27.933149337768555, Accuracy: 15.272448196469686},
{Epoch 21, Train_Loss: 23.640954971313477, Valid_Loss: 22.83066177368164, Accuracy: 16.807367613200306},
{Epoch 22, Train_Loss: 30.11338233947754, Valid_Loss: 30.321107864379883, Accuracy: 16.385264773599385},
{Epoch 23, Train_Loss: 28.141559600830078, Valid_Loss: 24.36765480041504, Accuracy: 15.464313123561013},
{Epoch 24, Train_Loss: 32.26779556274414, Valid_Loss: 26.941967010498047, Accuracy: 15.080583269378357},
{Epoch 25, Train_Loss: 25.675094604492188, Valid_Loss: 25.821712493896484, Accuracy: 16.193399846508058},
{Epoch 26, Train_Loss: 30.29199981689453, Valid_Loss: 25.87847900390625, Accuracy: 16.61550268610898},
{Epoch 27, Train_Loss: 27.1956844329834, Valid_Loss: 24.657215118408203, Accuracy: 16.231772831926325},
{Epoch 28, Train_Loss: 32.114925384521484, Valid_Loss: 32.10004806518555, Accuracy: 14.850345356868765},
{Epoch 29, Train_Loss: 27.078832626342773, Valid_Loss: 27.576770782470703, Accuracy: 16.69224865694551},
{Epoch 30, Train_Loss: 23.763084411621094, Valid_Loss: 31.367734909057617, Accuracy: 16.116653875671528},
{Epoch 31, Train_Loss: 25.07305145263672, Valid_Loss: 26.072223663330078, Accuracy: 15.656178050652342},
{Epoch 32, Train_Loss: 24.529251098632812, Valid_Loss: 23.387102127075195, Accuracy: 16.768994627782043},
{Epoch 33, Train_Loss: 26.34837532043457, Valid_Loss: 26.26040267944336, Accuracy: 16.00153491941673},
{Epoch 34, Train_Loss: 22.806394577026367, Valid_Loss: 24.163393020629883, Accuracy: 16.193399846508058},
{Epoch 35, Train_Loss: 22.35008430480957, Valid_Loss: 26.96213150024414, Accuracy: 15.656178050652342},
{Epoch 36, Train_Loss: 27.19181251525879, Valid_Loss: 23.96872901916504, Accuracy: 15.157329240214889},
{Epoch 37, Train_Loss: 23.3818416595459, Valid_Loss: 23.7816162109375, Accuracy: 16.039907904834998},
{Epoch 38, Train_Loss: 30.397367477416992, Valid_Loss: 23.343839645385742, Accuracy: 17.191097467382964},
{Epoch 39, Train_Loss: 26.234270095825195, Valid_Loss: 27.504940032958984, Accuracy: 16.69224865694551},

{******************************Training finished**********************************},
