{Epoch 0, Train_Loss: 2.555157423019409, Valid_Loss: 3.6590123176574707, Accuracy: 0.8116883116883117},
{Epoch 1, Train_Loss: 2.685654878616333, Valid_Loss: 5.2614898681640625, Accuracy: 0.2849002849002849},
{Epoch 2, Train_Loss: 2.5869271755218506, Valid_Loss: 4.47467565536499, Accuracy: 2.3136246786632393},
{Epoch 3, Train_Loss: 2.0848848819732666, Valid_Loss: 5.749850273132324, Accuracy: 3.541912632821724},
{Epoch 4, Train_Loss: 1.9746006727218628, Valid_Loss: 5.559774875640869, Accuracy: 23.819978046103184},
{Epoch 5, Train_Loss: 3.575573682785034, Valid_Loss: 4.013914585113525, Accuracy: 15.13903192584964},
{Epoch 6, Train_Loss: 5.314090728759766, Valid_Loss: 5.403655529022217, Accuracy: 16.553067185978577},
{Epoch 7, Train_Loss: 2.0063533782958984, Valid_Loss: 4.7422404289245605, Accuracy: 32.96296296296296},
{Epoch 8, Train_Loss: 1.675260305404663, Valid_Loss: 2.718400001525879, Accuracy: 34.836427939876216},
{Epoch 9, Train_Loss: 1.580744981765747, Valid_Loss: 3.6346113681793213, Accuracy: 40.50847457627118},
{Epoch 10, Train_Loss: 1.8946653604507446, Valid_Loss: 6.618844509124756, Accuracy: 42.950285248573756},
{Epoch 11, Train_Loss: 1.1613601446151733, Valid_Loss: 4.690291881561279, Accuracy: 45.75471698113208},
{Epoch 12, Train_Loss: 1.1515713930130005, Valid_Loss: 3.675006866455078, Accuracy: 52.39543726235741},
{Epoch 13, Train_Loss: 1.169389247894287, Valid_Loss: 2.7655270099639893, Accuracy: 43.404568901989684},
{Epoch 14, Train_Loss: 1.1477456092834473, Valid_Loss: 4.4317193031311035, Accuracy: 45.851216022889844},
{Epoch 15, Train_Loss: 0.7814372777938843, Valid_Loss: 5.602823257446289, Accuracy: 47.913769123783034},
{Epoch 16, Train_Loss: 1.1165574789047241, Valid_Loss: 5.030862331390381, Accuracy: 51.0840108401084},
