{Epoch 0, Train_Loss: 1.43855881690979, Valid_Loss: 1.5915277004241943, Accuracy: 44.9},
{Epoch 1, Train_Loss: 1.0399465560913086, Valid_Loss: 1.1301385164260864, Accuracy: 53.6},
{Epoch 2, Train_Loss: 0.8114922046661377, Valid_Loss: 1.655055284500122, Accuracy: 62.3},
{Epoch 3, Train_Loss: 1.4856629371643066, Valid_Loss: 0.880760669708252, Accuracy: 67.14},
{Epoch 4, Train_Loss: 0.40564674139022827, Valid_Loss: 0.9023021459579468, Accuracy: 69.38},
{Epoch 5, Train_Loss: 1.2134274244308472, Valid_Loss: 1.9628078937530518, Accuracy: 69.94},
{Epoch 6, Train_Loss: 2.3213932514190674, Valid_Loss: 0.4017779231071472, Accuracy: 71.58},
{Epoch 7, Train_Loss: 1.3458399772644043, Valid_Loss: 1.3705695867538452, Accuracy: 73.58},
{Epoch 8, Train_Loss: 0.8720728158950806, Valid_Loss: 1.629065990447998, Accuracy: 73.96},
{Epoch 9, Train_Loss: 0.41224461793899536, Valid_Loss: 0.8320961594581604, Accuracy: 75.32},
{Epoch 10, Train_Loss: 0.614006757736206, Valid_Loss: 0.8728224635124207, Accuracy: 76.4},
{Epoch 11, Train_Loss: 1.3218063116073608, Valid_Loss: 1.3585799932479858, Accuracy: 77.18},
{Epoch 12, Train_Loss: 0.7449740171432495, Valid_Loss: 0.2937324047088623, Accuracy: 77.84},
{Epoch 13, Train_Loss: 1.3932812213897705, Valid_Loss: 0.9739844799041748, Accuracy: 78.2},
{Epoch 14, Train_Loss: 0.3781073987483978, Valid_Loss: 0.6380123496055603, Accuracy: 79.16},
{Epoch 15, Train_Loss: 0.8146149516105652, Valid_Loss: 1.5861793756484985, Accuracy: 78.26},
{Epoch 16, Train_Loss: 0.3715563714504242, Valid_Loss: 0.975067138671875, Accuracy: 79.68},
{Epoch 17, Train_Loss: 0.2667221426963806, Valid_Loss: 1.1714080572128296, Accuracy: 79.92},
{Epoch 18, Train_Loss: 0.8403122425079346, Valid_Loss: 0.5905571579933167, Accuracy: 79.72},
{Epoch 19, Train_Loss: 0.11646108329296112, Valid_Loss: 1.4624310731887817, Accuracy: 80.56},
{Epoch 20, Train_Loss: 1.581443190574646, Valid_Loss: 1.3587342500686646, Accuracy: 80.68},
{Epoch 21, Train_Loss: 0.834771454334259, Valid_Loss: 0.433243066072464, Accuracy: 81.26},
{Epoch 22, Train_Loss: 1.219079613685608, Valid_Loss: 0.5283434987068176, Accuracy: 80.34},
{Epoch 23, Train_Loss: 0.76589435338974, Valid_Loss: 0.8696506023406982, Accuracy: 81.4},
{Epoch 24, Train_Loss: 0.2626032829284668, Valid_Loss: 0.672792375087738, Accuracy: 80.74},
{Epoch 25, Train_Loss: 0.39424172043800354, Valid_Loss: 0.414617657661438, Accuracy: 81.98},
{Epoch 26, Train_Loss: 0.14701196551322937, Valid_Loss: 0.5266140103340149, Accuracy: 82.1},
{Epoch 27, Train_Loss: 0.10162889212369919, Valid_Loss: 0.37551775574684143, Accuracy: 81.96},
{Epoch 28, Train_Loss: 0.2824113368988037, Valid_Loss: 0.7296489477157593, Accuracy: 82.5},
{Epoch 29, Train_Loss: 0.24267487227916718, Valid_Loss: 0.3947788178920746, Accuracy: 80.92},
{Epoch 30, Train_Loss: 0.07507629692554474, Valid_Loss: 0.512389063835144, Accuracy: 82.72},
{Epoch 31, Train_Loss: 0.10914625972509384, Valid_Loss: 1.7454676628112793, Accuracy: 82.94},
{Epoch 32, Train_Loss: 0.04364459961652756, Valid_Loss: 0.01564982905983925, Accuracy: 82.68},
{Epoch 33, Train_Loss: 0.5894384384155273, Valid_Loss: 1.438328742980957, Accuracy: 83.44},
{Epoch 34, Train_Loss: 0.38359567523002625, Valid_Loss: 0.969474732875824, Accuracy: 83.38},
{Epoch 35, Train_Loss: 0.03635331243276596, Valid_Loss: 1.611943006515503, Accuracy: 83.66},
{Epoch 36, Train_Loss: 0.1191091313958168, Valid_Loss: 0.6589159965515137, Accuracy: 83.8},
{Epoch 37, Train_Loss: 0.032306741923093796, Valid_Loss: 1.398344874382019, Accuracy: 83.92},
{Epoch 38, Train_Loss: 0.19364771246910095, Valid_Loss: 0.06848371028900146, Accuracy: 83.3},
{Epoch 39, Train_Loss: 0.1848558634519577, Valid_Loss: 0.03259936720132828, Accuracy: 83.92},
{Epoch 40, Train_Loss: 0.08687454462051392, Valid_Loss: 0.31250354647636414, Accuracy: 83.58},
{Epoch 41, Train_Loss: 0.08523321151733398, Valid_Loss: 1.3419960737228394, Accuracy: 83.72},
