{Epoch 0, Train_Loss: 0.2758733332157135, Valid_Loss: 6.407223701477051, Accuracy: 21.3},
{Epoch 1, Train_Loss: 0.24055978655815125, Valid_Loss: 6.812169551849365, Accuracy: 24.061433447098977},
{Epoch 2, Train_Loss: 0.07315468788146973, Valid_Loss: 5.76460075378418, Accuracy: 25.56732223903177},
{Epoch 3, Train_Loss: 0.9131085872650146, Valid_Loss: 6.612270832061768, Accuracy: 16.071428571428573},
{Epoch 4, Train_Loss: 0.339142382144928, Valid_Loss: 6.159038543701172, Accuracy: 28.752374920835972},
{Epoch 5, Train_Loss: 0.7690277099609375, Valid_Loss: 3.565941333770752, Accuracy: 30.596574128765504},
{Epoch 6, Train_Loss: 0.4354705512523651, Valid_Loss: 5.263065338134766, Accuracy: 32.333333333333336},
{Epoch 7, Train_Loss: 0.25441187620162964, Valid_Loss: 3.3272953033447266, Accuracy: 35.507627564439765},
{Epoch 8, Train_Loss: 0.39461588859558105, Valid_Loss: 1.5909762382507324, Accuracy: 38.15723585378067},
{Epoch 9, Train_Loss: 1.3567179441452026, Valid_Loss: 4.162631511688232, Accuracy: 37.26053639846743},
{Epoch 10, Train_Loss: 0.5084942579269409, Valid_Loss: 3.181163787841797, Accuracy: 43.58620689655172},
{Epoch 11, Train_Loss: 0.3134852945804596, Valid_Loss: 1.9586114883422852, Accuracy: 47.144754316069054},
{Epoch 12, Train_Loss: 0.26619428396224976, Valid_Loss: 2.5920615196228027, Accuracy: 49.52991452991453},
{Epoch 13, Train_Loss: 0.24353595077991486, Valid_Loss: 3.8519127368927, Accuracy: 49.83457402812242},
{Epoch 14, Train_Loss: 0.04907769709825516, Valid_Loss: 3.2258121967315674, Accuracy: 53.56856455493184},
{Epoch 15, Train_Loss: 0.18528607487678528, Valid_Loss: 1.5639252662658691, Accuracy: 47.23520249221184},
{Epoch 16, Train_Loss: 0.34996742010116577, Valid_Loss: 4.652046203613281, Accuracy: 51.34520651762031},
{Epoch 17, Train_Loss: 1.394402265548706, Valid_Loss: 2.8814616203308105, Accuracy: 56.646971935007386},
{Epoch 18, Train_Loss: 0.07099183648824692, Valid_Loss: 2.8510780334472656, Accuracy: 61.09510086455332},
{Epoch 19, Train_Loss: 0.12835995852947235, Valid_Loss: 1.746131181716919, Accuracy: 61.470795214637576},
{Epoch 20, Train_Loss: 0.0905173122882843, Valid_Loss: 2.893195152282715, Accuracy: 61.81630546955624},
{Epoch 21, Train_Loss: 1.5885913372039795, Valid_Loss: 5.051684856414795, Accuracy: 26.060606060606062},
