{Epoch 0, Train_Loss: 0.2602110803127289, Valid_Loss: 0.25477325916290283, Accuracy: 100.0},
{Epoch 1, Train_Loss: 0.2724815011024475, Valid_Loss: 0.10377895832061768, Accuracy: 100.0},
{Epoch 2, Train_Loss: 0.10813356935977936, Valid_Loss: 0.08956899493932724, Accuracy: 98.61111111111111},
{Epoch 3, Train_Loss: 0.045391008257865906, Valid_Loss: 0.0756954774260521, Accuracy: 97.43589743589743},
{Epoch 4, Train_Loss: 0.013532217592000961, Valid_Loss: 0.02934100665152073, Accuracy: 98.80952380952381},
{Epoch 5, Train_Loss: 0.016013896092772484, Valid_Loss: 0.015282037667930126, Accuracy: 94.38202247191012},
{Epoch 6, Train_Loss: 0.14048625528812408, Valid_Loss: 1.2718524932861328, Accuracy: 87.23404255319149},
{Epoch 7, Train_Loss: 0.01981189101934433, Valid_Loss: 1.6262145042419434, Accuracy: 82.82828282828282},
{Epoch 8, Train_Loss: 0.28345033526420593, Valid_Loss: 1.803399682044983, Accuracy: 81.55339805825243},
{Epoch 9, Train_Loss: 0.046908408403396606, Valid_Loss: 1.9297847747802734, Accuracy: 75.70093457943925},
{Epoch 10, Train_Loss: 0.10556666553020477, Valid_Loss: 2.4296276569366455, Accuracy: 75.67567567567568},
{Epoch 11, Train_Loss: 0.05399657040834427, Valid_Loss: 2.5337915420532227, Accuracy: 71.30434782608695},
{Epoch 12, Train_Loss: 0.4110493063926697, Valid_Loss: 2.4161770343780518, Accuracy: 68.90756302521008},
{Epoch 13, Train_Loss: 0.18119275569915771, Valid_Loss: 2.413672685623169, Accuracy: 66.39344262295081},
{Epoch 14, Train_Loss: 0.034761350601911545, Valid_Loss: 3.2714879512786865, Accuracy: 65.6},
{Epoch 15, Train_Loss: 0.11694929003715515, Valid_Loss: 3.6297881603240967, Accuracy: 59.375},
{Epoch 16, Train_Loss: 0.1689894199371338, Valid_Loss: 0.03343519940972328, Accuracy: 60.30534351145038},
{Epoch 17, Train_Loss: 0.41878509521484375, Valid_Loss: 4.869534492492676, Accuracy: 3.7313432835820897},
{Epoch 18, Train_Loss: 0.1719716638326645, Valid_Loss: 4.566095352172852, Accuracy: 56.934306569343065},
{Epoch 19, Train_Loss: 0.07909390330314636, Valid_Loss: 3.46053409576416, Accuracy: 51.42857142857143},
{Epoch 20, Train_Loss: 0.1407291740179062, Valid_Loss: 4.178098678588867, Accuracy: 53.84615384615385},
{Epoch 21, Train_Loss: 0.08469290286302567, Valid_Loss: 3.949305295944214, Accuracy: 54.10958904109589},
{Epoch 22, Train_Loss: 0.06650832295417786, Valid_Loss: 2.4795095920562744, Accuracy: 54.36241610738255},
{Epoch 23, Train_Loss: 0.04687703400850296, Valid_Loss: 3.738680124282837, Accuracy: 48.68421052631579},
{Epoch 24, Train_Loss: 0.15954449772834778, Valid_Loss: 3.0158817768096924, Accuracy: 52.25806451612903},
{Epoch 25, Train_Loss: 0.058094464242458344, Valid_Loss: 4.7424139976501465, Accuracy: 46.835443037974684},
{Epoch 26, Train_Loss: 0.004245437681674957, Valid_Loss: 7.0433759689331055, Accuracy: 48.75},
{Epoch 27, Train_Loss: 0.052125483751297, Valid_Loss: 5.882907867431641, Accuracy: 54.32098765432099},
{Epoch 28, Train_Loss: 0.02899550274014473, Valid_Loss: 4.193716049194336, Accuracy: 51.829268292682926},
