{Epoch 0, Train_Loss: 0.006295591592788696, Valid_Loss: 6.353324890136719, Accuracy: 0.0},
{Epoch 1, Train_Loss: 0.0036735692992806435, Valid_Loss: 6.860445499420166, Accuracy: 0.0},
{Epoch 2, Train_Loss: 0.0014957210514694452, Valid_Loss: 7.452006816864014, Accuracy: 0.0},
{Epoch 3, Train_Loss: 0.4066604673862457, Valid_Loss: 5.483041763305664, Accuracy: 0.0},
{Epoch 4, Train_Loss: 0.08196739852428436, Valid_Loss: 6.597543239593506, Accuracy: 0.0},
{Epoch 5, Train_Loss: 0.13443481922149658, Valid_Loss: 7.200677394866943, Accuracy: 0.0},
{Epoch 6, Train_Loss: 0.06156572699546814, Valid_Loss: 6.8566975593566895, Accuracy: 0.0},
{Epoch 7, Train_Loss: 0.26889294385910034, Valid_Loss: 7.530129432678223, Accuracy: 0.0},
{Epoch 8, Train_Loss: 0.007877749390900135, Valid_Loss: 7.70190954208374, Accuracy: 0.0},
{Epoch 9, Train_Loss: 0.1617305427789688, Valid_Loss: 4.514334678649902, Accuracy: 0.0},
{Epoch 10, Train_Loss: 0.1716272532939911, Valid_Loss: 4.346947193145752, Accuracy: 0.7874015748031497},
{Epoch 11, Train_Loss: 0.14069722592830658, Valid_Loss: 4.076420307159424, Accuracy: 3.0303030303030303},
{Epoch 12, Train_Loss: 0.10035068541765213, Valid_Loss: 4.03315544128418, Accuracy: 5.109489051094891},
{Epoch 13, Train_Loss: 0.06472251564264297, Valid_Loss: 3.1648428440093994, Accuracy: 8.51063829787234},
{Epoch 14, Train_Loss: 0.06493397057056427, Valid_Loss: 4.111261367797852, Accuracy: 19.310344827586206},
{Epoch 15, Train_Loss: 0.5733758211135864, Valid_Loss: 2.479646682739258, Accuracy: 17.449664429530202},
{Epoch 16, Train_Loss: 0.09584087133407593, Valid_Loss: 2.7476067543029785, Accuracy: 15.686274509803921},
{Epoch 17, Train_Loss: 0.11110933870077133, Valid_Loss: 2.429161310195923, Accuracy: 25.477707006369428},
{Epoch 18, Train_Loss: 0.2056906372308731, Valid_Loss: 2.1325016021728516, Accuracy: 39.75155279503105},
{Epoch 19, Train_Loss: 0.11473564058542252, Valid_Loss: 1.501535415649414, Accuracy: 44.24242424242424},
{Epoch 20, Train_Loss: 0.08473417907953262, Valid_Loss: 1.686964988708496, Accuracy: 44.97041420118343},
{Epoch 21, Train_Loss: 0.07093262672424316, Valid_Loss: 1.4855992794036865, Accuracy: 42.774566473988436},
{Epoch 22, Train_Loss: 0.34911707043647766, Valid_Loss: 2.51865816116333, Accuracy: 22.15909090909091},
{Epoch 23, Train_Loss: 0.07772199809551239, Valid_Loss: 1.1330904960632324, Accuracy: 46.36871508379888},
{Epoch 24, Train_Loss: 0.0541389100253582, Valid_Loss: 1.0663949251174927, Accuracy: 64.83516483516483},
{Epoch 25, Train_Loss: 0.0913851335644722, Valid_Loss: 1.4365034103393555, Accuracy: 65.4054054054054},
{Epoch 26, Train_Loss: 0.11566568911075592, Valid_Loss: 1.5036876201629639, Accuracy: 48.40425531914894},
{Epoch 27, Train_Loss: 0.4728732705116272, Valid_Loss: 1.4160526990890503, Accuracy: 63.87434554973822},
{Epoch 28, Train_Loss: 0.14408890902996063, Valid_Loss: 0.9500961303710938, Accuracy: 58.24742268041237},
{Epoch 29, Train_Loss: 0.17716307938098907, Valid_Loss: 0.3264707922935486, Accuracy: 70.55837563451777},
{Epoch 30, Train_Loss: 0.18981847167015076, Valid_Loss: 1.9581074714660645, Accuracy: 63.0},
