{Epoch 0, Train_Loss: 0.5775982141494751, Valid_Loss: 5.101553440093994, Accuracy: 14.4},
{Epoch 1, Train_Loss: 0.8360613584518433, Valid_Loss: 5.612422466278076, Accuracy: 14.505119453924914},
{Epoch 2, Train_Loss: 0.9838246703147888, Valid_Loss: 5.434962272644043, Accuracy: 18.305597579425115},
{Epoch 3, Train_Loss: 1.7050502300262451, Valid_Loss: 5.298730373382568, Accuracy: 19.78021978021978},
{Epoch 4, Train_Loss: 1.122074007987976, Valid_Loss: 5.516836643218994, Accuracy: 22.165927802406586},
{Epoch 5, Train_Loss: 0.749993085861206, Valid_Loss: 5.1368513107299805, Accuracy: 24.808033077377438},
{Epoch 6, Train_Loss: 0.7447267770767212, Valid_Loss: 7.353801727294922, Accuracy: 26.38888888888889},
{Epoch 7, Train_Loss: 0.5264492630958557, Valid_Loss: 5.676382064819336, Accuracy: 28.66912151499211},
{Epoch 8, Train_Loss: 0.38218387961387634, Valid_Loss: 6.277304649353027, Accuracy: 29.794692038057086},
{Epoch 9, Train_Loss: 0.9347735047340393, Valid_Loss: 3.4189372062683105, Accuracy: 32.04022988505747},
{Epoch 10, Train_Loss: 0.9637179970741272, Valid_Loss: 3.7478742599487305, Accuracy: 34.4367816091954},
{Epoch 11, Train_Loss: 0.5443114042282104, Valid_Loss: 3.2422804832458496, Accuracy: 38.02567507746791},
{Epoch 12, Train_Loss: 0.8189915418624878, Valid_Loss: 2.6969892978668213, Accuracy: 41.41025641025641},
{Epoch 13, Train_Loss: 0.45338767766952515, Valid_Loss: 3.990652561187744, Accuracy: 41.72870140612076},
{Epoch 14, Train_Loss: 0.45213398337364197, Valid_Loss: 4.313653945922852, Accuracy: 44.105854049719326},
{Epoch 15, Train_Loss: 0.2712465822696686, Valid_Loss: 4.370521545410156, Accuracy: 46.41744548286604},
{Epoch 16, Train_Loss: 0.8927536606788635, Valid_Loss: 6.03865385055542, Accuracy: 49.03372489579386},
{Epoch 17, Train_Loss: 1.9282047748565674, Valid_Loss: 3.3038113117218018, Accuracy: 48.92909896602659},
{Epoch 18, Train_Loss: 0.15284839272499084, Valid_Loss: 3.986903190612793, Accuracy: 50.07204610951008},
{Epoch 19, Train_Loss: 0.18868298828601837, Valid_Loss: 4.812206745147705, Accuracy: 53.377902885292045},
{Epoch 20, Train_Loss: 0.3383546769618988, Valid_Loss: 3.394334554672241, Accuracy: 53.835569315445476},
{Epoch 21, Train_Loss: 0.4809882640838623, Valid_Loss: 3.8429646492004395, Accuracy: 53.333333333333336},
{Epoch 22, Train_Loss: 0.1454806625843048, Valid_Loss: 1.6180862188339233, Accuracy: 54.78232189973615},
{Epoch 23, Train_Loss: 0.16319392621517181, Valid_Loss: 2.5073349475860596, Accuracy: 57.969608794051084},
{Epoch 24, Train_Loss: 0.332682341337204, Valid_Loss: 3.9241504669189453, Accuracy: 59.64467005076142},
{Epoch 25, Train_Loss: 0.775601327419281, Valid_Loss: 2.2680916786193848, Accuracy: 60.99688473520249},
{Epoch 26, Train_Loss: 0.2583027184009552, Valid_Loss: 0.6322255730628967, Accuracy: 62.50382614018978},
{Epoch 27, Train_Loss: 0.05522286519408226, Valid_Loss: 2.436002254486084, Accuracy: 64.88113150767379},
{Epoch 28, Train_Loss: 1.0444202423095703, Valid_Loss: 1.9739576578140259, Accuracy: 66.72587329780936},
{Epoch 29, Train_Loss: 0.08656071871519089, Valid_Loss: 1.825421929359436, Accuracy: 69.81351981351982},
{Epoch 30, Train_Loss: 0.11773935705423355, Valid_Loss: 1.4466831684112549, Accuracy: 72.08034433285509},
{Epoch 31, Train_Loss: 0.08673345297574997, Valid_Loss: 1.7555739879608154, Accuracy: 73.17693612210289},
{Epoch 32, Train_Loss: 0.09317667037248611, Valid_Loss: 1.4159798622131348, Accuracy: 73.84401114206128},
{Epoch 33, Train_Loss: 0.09026696532964706, Valid_Loss: 2.5969491004943848, Accuracy: 75.30898104916231},
{Epoch 34, Train_Loss: 0.02161732129752636, Valid_Loss: 2.3719279766082764, Accuracy: 75.88729341641832},
{Epoch 35, Train_Loss: 0.0152050806209445, Valid_Loss: 1.7554678916931152, Accuracy: 76.20956963378775},
{Epoch 36, Train_Loss: 0.014235122129321098, Valid_Loss: 1.3936151266098022, Accuracy: 76.49076517150395},
{Epoch 37, Train_Loss: 0.03707541152834892, Valid_Loss: 2.0692145824432373, Accuracy: 77.28575149778588},
{Epoch 38, Train_Loss: 0.010497075505554676, Valid_Loss: 1.6497344970703125, Accuracy: 77.33470542835092},
{Epoch 39, Train_Loss: 0.13501523435115814, Valid_Loss: 2.0368192195892334, Accuracy: 77.30045754956787},
{Epoch 40, Train_Loss: 0.12770430743694305, Valid_Loss: 2.0695302486419678, Accuracy: 77.26701833710123},
{Epoch 41, Train_Loss: 0.20897577702999115, Valid_Loss: 2.0793957710266113, Accuracy: 76.88105289297243},
{Epoch 42, Train_Loss: 0.09548024833202362, Valid_Loss: 1.5220847129821777, Accuracy: 78.78713479008103},
{Epoch 43, Train_Loss: 0.2799406349658966, Valid_Loss: 1.976087212562561, Accuracy: 81.18018455560951},
{Epoch 44, Train_Loss: 0.028867622837424278, Valid_Loss: 1.2724690437316895, Accuracy: 83.49747778044679},
{Epoch 45, Train_Loss: 0.049088332802057266, Valid_Loss: 0.8603737950325012, Accuracy: 84.90610886617542},
{Epoch 46, Train_Loss: 0.5365208387374878, Valid_Loss: 1.5353258848190308, Accuracy: 85.36814867090096},
{Epoch 47, Train_Loss: 0.4071820080280304, Valid_Loss: 0.06153262034058571, Accuracy: 85.49138332557057},
{Epoch 48, Train_Loss: 0.045088402926921844, Valid_Loss: 0.6336387991905212, Accuracy: 86.21166705095688},
{Epoch 49, Train_Loss: 0.17667610943317413, Valid_Loss: 0.10464590787887573, Accuracy: 86.66362183146838},
{Epoch 50, Train_Loss: 0.1355840116739273, Valid_Loss: 2.7543678283691406, Accuracy: 86.67722234788509},
{Epoch 51, Train_Loss: 0.08764659613370895, Valid_Loss: 0.7504595518112183, Accuracy: 86.86981850773023},
{Epoch 52, Train_Loss: 0.013049495406448841, Valid_Loss: 0.22537197172641754, Accuracy: 88.01065719360568},
{Epoch 53, Train_Loss: 0.06410394608974457, Valid_Loss: 3.049077033996582, Accuracy: 89.1969196919692},
{Epoch 54, Train_Loss: 0.029344767332077026, Valid_Loss: 0.5378779172897339, Accuracy: 90.31624863685933},
{Epoch 55, Train_Loss: 0.11481992900371552, Valid_Loss: 0.7266829609870911, Accuracy: 91.15675675675676},
