{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C55370D60>, 'validation_loss': 0.10775993019342422, 'training_loss': 0.014115985482931137, 'accuracy': 99.23076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.002, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.06, 'momentum': 0.69, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C54E5B940>, 'validation_loss': 0.009182823821902275, 'training_loss': 0.014880704693496227, 'accuracy': 98.84615384615384}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.63, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C55370BB0>, 'validation_loss': 0.5031017065048218, 'training_loss': 0.0053465343080461025, 'accuracy': 99.61538461538461}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.004, 'momentum': 0.14, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C54E5BB20>, 'validation_loss': 0.578805148601532, 'training_loss': 0.4193100035190582, 'accuracy': 82.3076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.006, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.003, 'momentum': 0.34, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C54E5B910>, 'validation_loss': 0.0175547506660223, 'training_loss': 0.003997310530394316, 'accuracy': 99.23076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0007, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.13, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C54E5BB80>, 'validation_loss': 0.5215662717819214, 'training_loss': 0.27727121114730835, 'accuracy': 88.84615384615384}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.32, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C54E5B970>, 'validation_loss': 0.12927590310573578, 'training_loss': 0.41103896498680115, 'accuracy': 86.53846153846153}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.25, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000021C4EBEBAF0>, 'validation_loss': 0.023724449798464775, 'training_loss': 0.011538458988070488, 'accuracy': 99.61538461538461}


{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.002, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.54, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x000001D50F53CF10>, 'validation_loss': 0.07425165176391602, 'training_loss': 0.02868749387562275, 'accuracy': 98.84615384615384}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.002, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.54, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x000001D50F07FBB0>, 'validation_loss': 0.03764926642179489, 'training_loss': 0.029453132301568985, 'accuracy': 98.07692307692308}

{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.002, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.54, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x000001D50F5F1E10>, 'validation_loss': 0.04110616818070412, 'training_loss': 0.027809977531433105, 'accuracy': 99.61538461538461}


{'dataset_name': 'Cifar10', 'architecture': 'AlexNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.06, 'momentum': 0.65, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x000001D50F53FBB0>, 'validation_loss': 0.08798234164714813, 'training_loss': 0.1485690176486969, 'accuracy': 97.6923076923077}

