{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826C49360>, 'validation_loss': 0.0027075624093413353, 'training_loss': 0.0017738980241119862, 'accuracy': 99.61538461538461}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FC9810>, 'validation_loss': 0.00839915405958891, 'training_loss': 0.0013809315860271454, 'accuracy': 98.46153846153847}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FBB100>, 'validation_loss': 0.001965244533494115, 'training_loss': 0.0019745349418371916, 'accuracy': 96.53846153846153}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.002, 'momentum': 0.68, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FE4AF0>, 'validation_loss': 0.006746034137904644, 'training_loss': 0.0004172304761596024, 'accuracy': 97.6923076923077}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.002, 'momentum': 0.68, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FCA4D0>, 'validation_loss': 1.1288831233978271, 'training_loss': 0.0018368948949500918, 'accuracy': 99.23076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.002, 'momentum': 0.68, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FE72E0>, 'validation_loss': 0.000306839297991246, 'training_loss': 0.00012998288730159402, 'accuracy': 99.23076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.18, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FBB2E0>, 'validation_loss': 0.3971317708492279, 'training_loss': 0.012193216010928154, 'accuracy': 97.3076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.18, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826759C90>, 'validation_loss': 0.06647363305091858, 'training_loss': 0.028743039816617966, 'accuracy': 97.3076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.18, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FE4370>, 'validation_loss': 1.3781800270080566, 'training_loss': 0.01922396570444107, 'accuracy': 96.15384615384616}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.4, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FB99C0>, 'validation_loss': 1.0548347234725952, 'training_loss': 0.4706690311431885, 'accuracy': 82.3076923076923}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.4, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826FC9C60>, 'validation_loss': 0.633135199546814, 'training_loss': 0.5975050330162048, 'accuracy': 88.07692307692308}

{'dataset_name': 'Cifar10', 'architecture': 'ResNet', 'epochs': 70, 'batch_size': 64, 'learning_rate': 0.0001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.4, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x0000020826758190>, 'validation_loss': 0.9757403135299683, 'training_loss': 0.6117904186248779, 'accuracy': 84.23076923076923}

