{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c9a5040>, 'validation_loss': 3.4884612560272217, 'training_loss': 0.572603166103363, 'accuracy': 26.548672566371682}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 3e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.002, 'momentum': 0.4, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c389f40>, 'validation_loss': 3.897148847579956, 'training_loss': 3.833374261856079, 'accuracy': 2.6548672566371683}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0006, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.009, 'momentum': 0.83, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c3ce760>, 'validation_loss': 4.844181060791016, 'training_loss': 0.373800665140152, 'accuracy': 25.073746312684367}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.002, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.07, 'momentum': 0.77, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c4d3c70>, 'validation_loss': 4.191339015960693, 'training_loss': 0.7769579291343689, 'accuracy': 20.058997050147493}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 2e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.78, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c4c3730>, 'validation_loss': 4.036327838897705, 'training_loss': 3.8583333492279053, 'accuracy': 2.6548672566371683}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.005, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.82, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c4b6ca0>, 'validation_loss': 2.9036357402801514, 'training_loss': 0.8560841083526611, 'accuracy': 23.893805309734514}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.82, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c9b9b80>, 'validation_loss': 3.008481025695801, 'training_loss': 0.5261057019233704, 'accuracy': 26.253687315634217}

