{Epoch 0, Train_Loss: 0.5399758815765381, Valid_Loss: 7.936485767364502, Accuracy: 0.0},
{Epoch 1, Train_Loss: 0.525370717048645, Valid_Loss: 9.32872486114502, Accuracy: 0.0},
{Epoch 2, Train_Loss: 0.3910409212112427, Valid_Loss: 9.831509590148926, Accuracy: 0.0},
{Epoch 3, Train_Loss: 0.32762691378593445, Valid_Loss: 10.756375312805176, Accuracy: 0.0},
{Epoch 4, Train_Loss: 0.285936176776886, Valid_Loss: 10.768173217773438, Accuracy: 0.0},
{Epoch 5, Train_Loss: 0.26178956031799316, Valid_Loss: 11.081090927124023, Accuracy: 0.0},
{Epoch 6, Train_Loss: 0.1218128651380539, Valid_Loss: 11.298649787902832, Accuracy: 0.0},
{Epoch 7, Train_Loss: 0.09997577220201492, Valid_Loss: 11.475166320800781, Accuracy: 0.0},
{Epoch 8, Train_Loss: 0.020831206813454628, Valid_Loss: 11.303004264831543, Accuracy: 0.0},
{Epoch 9, Train_Loss: 0.2827584445476532, Valid_Loss: 8.874068260192871, Accuracy: 0.0},
{Epoch 10, Train_Loss: 0.24234257638454437, Valid_Loss: 6.65219783782959, Accuracy: 0.0},
{Epoch 11, Train_Loss: 0.17049896717071533, Valid_Loss: 7.169287204742432, Accuracy: 0.0},
{Epoch 12, Train_Loss: 0.24920712411403656, Valid_Loss: 5.118165969848633, Accuracy: 10.218978102189782},
{Epoch 13, Train_Loss: 0.20005062222480774, Valid_Loss: 5.685513019561768, Accuracy: 15.602836879432624},
{Epoch 14, Train_Loss: 0.22728580236434937, Valid_Loss: 5.1636643409729, Accuracy: 27.586206896551722},
{Epoch 15, Train_Loss: 0.44999516010284424, Valid_Loss: 6.801309585571289, Accuracy: 31.543624161073826},
{Epoch 16, Train_Loss: 0.2934727966785431, Valid_Loss: 7.981438159942627, Accuracy: 33.333333333333336},
{Epoch 17, Train_Loss: 0.37589964270591736, Valid_Loss: 4.794799327850342, Accuracy: 32.48407643312102},
{Epoch 18, Train_Loss: 0.220986008644104, Valid_Loss: 3.2784526348114014, Accuracy: 36.024844720496894},
{Epoch 19, Train_Loss: 0.21830116212368011, Valid_Loss: 7.2767252922058105, Accuracy: 40.0},
{Epoch 20, Train_Loss: 0.16880600154399872, Valid_Loss: 4.1460371017456055, Accuracy: 42.603550295857985},
{Epoch 21, Train_Loss: 0.10534272342920303, Valid_Loss: 6.861593246459961, Accuracy: 43.93063583815029},
{Epoch 22, Train_Loss: 0.40571561455726624, Valid_Loss: 5.200610160827637, Accuracy: 46.59090909090909},
{Epoch 23, Train_Loss: 0.24715949594974518, Valid_Loss: 5.685091972351074, Accuracy: 46.36871508379888},
{Epoch 24, Train_Loss: 0.08939782530069351, Valid_Loss: 5.254306316375732, Accuracy: 46.7032967032967},
{Epoch 25, Train_Loss: 0.3032129406929016, Valid_Loss: 6.031732559204102, Accuracy: 44.86486486486486},
{Epoch 26, Train_Loss: 0.10719333589076996, Valid_Loss: 5.653095722198486, Accuracy: 48.93617021276596},
{Epoch 27, Train_Loss: 0.12780581414699554, Valid_Loss: 5.360559940338135, Accuracy: 51.832460732984295},
{Epoch 28, Train_Loss: 0.5324612259864807, Valid_Loss: 8.493060111999512, Accuracy: 47.93814432989691},
{Epoch 29, Train_Loss: 0.29071083664894104, Valid_Loss: 2.538908004760742, Accuracy: 51.776649746192895},
{Epoch 30, Train_Loss: 0.27795717120170593, Valid_Loss: 1.1895114183425903, Accuracy: 53.0},
{Epoch 31, Train_Loss: 0.1996195763349533, Valid_Loss: 0.6336187124252319, Accuracy: 56.65024630541872},
{Epoch 32, Train_Loss: 0.3082405626773834, Valid_Loss: 1.0417267084121704, Accuracy: 52.9126213592233},
{Epoch 33, Train_Loss: 0.3167594075202942, Valid_Loss: 0.6171867847442627, Accuracy: 58.85167464114833},
{Epoch 34, Train_Loss: 0.2597806751728058, Valid_Loss: 0.7398573160171509, Accuracy: 65.09433962264151},
{Epoch 35, Train_Loss: 0.17502623796463013, Valid_Loss: 0.875974178314209, Accuracy: 69.30232558139535},
{Epoch 36, Train_Loss: 0.2995431423187256, Valid_Loss: 1.171342134475708, Accuracy: 69.72477064220183},
{Epoch 37, Train_Loss: 0.2713671624660492, Valid_Loss: 0.8080576062202454, Accuracy: 67.42081447963801},
{Epoch 38, Train_Loss: 0.22285115718841553, Valid_Loss: 0.6099082231521606, Accuracy: 73.66071428571429},
{Epoch 39, Train_Loss: 0.4737672209739685, Valid_Loss: 0.6346338987350464, Accuracy: 78.31858407079646},
{Epoch 40, Train_Loss: 0.1344025731086731, Valid_Loss: 0.45686066150665283, Accuracy: 76.75438596491227},
{Epoch 41, Train_Loss: 0.4148866534233093, Valid_Loss: 0.8242039680480957, Accuracy: 70.0},
{Epoch 42, Train_Loss: 0.2453237771987915, Valid_Loss: 0.3534996509552002, Accuracy: 81.46551724137932},
{Epoch 43, Train_Loss: 0.09792344272136688, Valid_Loss: 0.4896235764026642, Accuracy: 85.47008547008546},
{Epoch 44, Train_Loss: 0.062434375286102295, Valid_Loss: 0.5727777481079102, Accuracy: 82.20338983050847},
{Epoch 45, Train_Loss: 0.18272672593593597, Valid_Loss: 0.2616775631904602, Accuracy: 89.07563025210084},
{Epoch 46, Train_Loss: 0.034003760665655136, Valid_Loss: 0.16514469683170319, Accuracy: 88.33333333333333},
{Epoch 47, Train_Loss: 0.06478419899940491, Valid_Loss: 0.35776206851005554, Accuracy: 86.36363636363636},
{Epoch 48, Train_Loss: 0.07345415651798248, Valid_Loss: 0.25152379274368286, Accuracy: 88.93442622950819},
{Epoch 49, Train_Loss: 0.126576229929924, Valid_Loss: 0.3988342583179474, Accuracy: 91.0569105691057},
{Epoch 50, Train_Loss: 0.07848060876131058, Valid_Loss: 0.32648706436157227, Accuracy: 95.16129032258064},
{Epoch 51, Train_Loss: 0.11648496985435486, Valid_Loss: 0.19071881473064423, Accuracy: 96.0},
{Epoch 52, Train_Loss: 0.05892414227128029, Valid_Loss: 0.15331725776195526, Accuracy: 94.04761904761905},
{Epoch 53, Train_Loss: 0.09926125407218933, Valid_Loss: 0.10317347943782806, Accuracy: 94.88188976377953},
{Epoch 54, Train_Loss: 0.052096832543611526, Valid_Loss: 0.27670392394065857, Accuracy: 94.921875},
{Epoch 55, Train_Loss: 0.0726294070482254, Valid_Loss: 1.0329917669296265, Accuracy: 93.02325581395348},
{Epoch 56, Train_Loss: 0.08743254840373993, Valid_Loss: 0.6018439531326294, Accuracy: 95.38461538461539},
{Epoch 57, Train_Loss: 0.07341458648443222, Valid_Loss: 0.9432082176208496, Accuracy: 96.92307692307692},
{Epoch 58, Train_Loss: 0.061901334673166275, Valid_Loss: 0.03716650977730751, Accuracy: 96.92307692307692},
{Epoch 59, Train_Loss: 0.02498803846538067, Valid_Loss: 0.12246522307395935, Accuracy: 97.3076923076923},
{Epoch 60, Train_Loss: 0.0515950471162796, Valid_Loss: 0.5558561682701111, Accuracy: 94.61538461538461},
{Epoch 61, Train_Loss: 0.025183606892824173, Valid_Loss: 0.15254084765911102, Accuracy: 97.6923076923077},
{Epoch 62, Train_Loss: 0.05881774052977562, Valid_Loss: 0.3629811406135559, Accuracy: 96.15384615384616},
{Epoch 63, Train_Loss: 0.009538051672279835, Valid_Loss: 0.05413245037198067, Accuracy: 98.84615384615384},
{Epoch 64, Train_Loss: 0.008133303374052048, Valid_Loss: 0.0024217944592237473, Accuracy: 98.46153846153847},
{Epoch 65, Train_Loss: 0.011206922121345997, Valid_Loss: 0.004179104696959257, Accuracy: 98.84615384615384},
