{Epoch 0, Train_Loss: 0.004371735267341137, Valid_Loss: 10.32498836517334, Accuracy: 0.0},
{Epoch 1, Train_Loss: 0.0011717735324054956, Valid_Loss: 12.013191223144531, Accuracy: 0.0},
{Epoch 2, Train_Loss: 0.0006345704896375537, Valid_Loss: 11.771780014038086, Accuracy: 0.0},
{Epoch 3, Train_Loss: 0.44889917969703674, Valid_Loss: 7.46920919418335, Accuracy: 0.0},
{Epoch 4, Train_Loss: 0.6636903882026672, Valid_Loss: 4.252955436706543, Accuracy: 7.608695652173913},
{Epoch 5, Train_Loss: 0.5072985291481018, Valid_Loss: 2.3055686950683594, Accuracy: 14.141414141414142},
{Epoch 6, Train_Loss: 0.6444677114486694, Valid_Loss: 1.8199634552001953, Accuracy: 19.047619047619047},
{Epoch 7, Train_Loss: 0.813984215259552, Valid_Loss: 1.2303037643432617, Accuracy: 23.423423423423422},
{Epoch 8, Train_Loss: 0.2508297264575958, Valid_Loss: 1.8170931339263916, Accuracy: 27.35042735042735},
{Epoch 9, Train_Loss: 0.5382331609725952, Valid_Loss: 1.3359109163284302, Accuracy: 31.9672131147541},
{Epoch 10, Train_Loss: 0.4397822618484497, Valid_Loss: 1.5620530843734741, Accuracy: 35.43307086614173},
{Epoch 11, Train_Loss: 0.6733705401420593, Valid_Loss: 1.1829910278320312, Accuracy: 41.666666666666664},
{Epoch 12, Train_Loss: 0.6331254243850708, Valid_Loss: 0.48533064126968384, Accuracy: 64.96350364963503},
{Epoch 13, Train_Loss: 0.58509361743927, Valid_Loss: 0.7225242257118225, Accuracy: 46.09929078014184},
{Epoch 14, Train_Loss: 0.4004865884780884, Valid_Loss: 1.0338072776794434, Accuracy: 48.96551724137931},
{Epoch 15, Train_Loss: 0.5881921648979187, Valid_Loss: 0.6709738969802856, Accuracy: 53.02013422818792},
{Epoch 16, Train_Loss: 0.44829121232032776, Valid_Loss: 0.8265020251274109, Accuracy: 60.78431372549019},
{Epoch 17, Train_Loss: 0.42746925354003906, Valid_Loss: 0.5198461413383484, Accuracy: 68.15286624203821},
{Epoch 18, Train_Loss: 0.4462388753890991, Valid_Loss: 0.5331399440765381, Accuracy: 68.94409937888199},
{Epoch 19, Train_Loss: 0.40616658329963684, Valid_Loss: 1.9067766666412354, Accuracy: 70.3030303030303},
{Epoch 20, Train_Loss: 0.25104668736457825, Valid_Loss: 1.9936022758483887, Accuracy: 60.946745562130175},
{Epoch 21, Train_Loss: 0.20974373817443848, Valid_Loss: 2.3132848739624023, Accuracy: 71.67630057803468},
{Epoch 22, Train_Loss: 0.20055575668811798, Valid_Loss: 2.178471803665161, Accuracy: 65.3409090909091},
{Epoch 23, Train_Loss: 0.18088853359222412, Valid_Loss: 1.6033633947372437, Accuracy: 72.62569832402235},
{Epoch 24, Train_Loss: 0.29956483840942383, Valid_Loss: 2.3457674980163574, Accuracy: 75.82417582417582},
{Epoch 25, Train_Loss: 0.1971653550863266, Valid_Loss: 2.9260237216949463, Accuracy: 68.64864864864865},
{Epoch 26, Train_Loss: 0.23211635649204254, Valid_Loss: 2.806067943572998, Accuracy: 75.0},
{Epoch 27, Train_Loss: 0.10372074693441391, Valid_Loss: 2.9471747875213623, Accuracy: 72.25130890052355},
{Epoch 28, Train_Loss: 0.33692342042922974, Valid_Loss: 7.08087682723999, Accuracy: 72.68041237113403},
{Epoch 29, Train_Loss: 0.12010272592306137, Valid_Loss: 2.616028308868408, Accuracy: 72.08121827411168},
{Epoch 30, Train_Loss: 0.06889018416404724, Valid_Loss: 2.074232339859009, Accuracy: 67.0},
{Epoch 31, Train_Loss: 0.06143031641840935, Valid_Loss: 5.048282623291016, Accuracy: 77.33990147783251},
{Epoch 32, Train_Loss: 0.060726940631866455, Valid_Loss: 3.7644498348236084, Accuracy: 76.2135922330097},
{Epoch 33, Train_Loss: 0.21321529150009155, Valid_Loss: 3.7166802883148193, Accuracy: 80.38277511961722},
{Epoch 34, Train_Loss: 0.030411170795559883, Valid_Loss: 0.061454303562641144, Accuracy: 78.77358490566037},
{Epoch 35, Train_Loss: 0.04918275028467178, Valid_Loss: 3.1279356479644775, Accuracy: 79.06976744186046},
{Epoch 36, Train_Loss: 0.12219219654798508, Valid_Loss: 3.8124911785125732, Accuracy: 82.56880733944953},
{Epoch 37, Train_Loss: 0.030107708647847176, Valid_Loss: 2.3486552238464355, Accuracy: 80.09049773755656},
{Epoch 38, Train_Loss: 0.037766944617033005, Valid_Loss: 2.3323333263397217, Accuracy: 81.69642857142857},
{Epoch 39, Train_Loss: 0.08269202709197998, Valid_Loss: 2.020862579345703, Accuracy: 81.41592920353982},
{Epoch 40, Train_Loss: 0.06422645598649979, Valid_Loss: 3.2452542781829834, Accuracy: 82.89473684210526},
