{Epoch 0, Train_Loss: 0.8292239904403687, Valid_Loss: 0.6821134090423584, Accuracy: 66.89895470383276},
{Epoch 1, Train_Loss: 0.462902694940567, Valid_Loss: 1.0486297607421875, Accuracy: 61.67247386759582},
{Epoch 2, Train_Loss: 0.24086548388004303, Valid_Loss: 0.7631419897079468, Accuracy: 78.74564459930313},
{Epoch 3, Train_Loss: 0.21012264490127563, Valid_Loss: 0.5656139254570007, Accuracy: 70.73170731707317},
{Epoch 4, Train_Loss: 0.40845054388046265, Valid_Loss: 0.0839357003569603, Accuracy: 93.72822299651568},
{Epoch 5, Train_Loss: 0.3050125241279602, Valid_Loss: 0.5276159048080444, Accuracy: 75.60975609756098},
{Epoch 6, Train_Loss: 0.37522944808006287, Valid_Loss: 0.2120482474565506, Accuracy: 93.03135888501743},
{Epoch 7, Train_Loss: 0.4353511929512024, Valid_Loss: 0.2884283661842346, Accuracy: 80.13937282229965},
{Epoch 8, Train_Loss: 0.063884437084198, Valid_Loss: 0.6106849908828735, Accuracy: 80.48780487804878},
{Epoch 9, Train_Loss: 0.07697635889053345, Valid_Loss: 0.4958422780036926, Accuracy: 83.62369337979094},
{Epoch 10, Train_Loss: 0.21916978061199188, Valid_Loss: 0.46873316168785095, Accuracy: 80.8362369337979},
{Epoch 11, Train_Loss: 0.196517676115036, Valid_Loss: 0.5139328241348267, Accuracy: 82.92682926829268},
{Epoch 12, Train_Loss: 0.04056156054139137, Valid_Loss: 0.7102211713790894, Accuracy: 71.0801393728223},
{Epoch 13, Train_Loss: 0.41204842925071716, Valid_Loss: 0.4793798327445984, Accuracy: 79.09407665505226},
{Epoch 14, Train_Loss: 0.1301187425851822, Valid_Loss: 0.2796787917613983, Accuracy: 94.07665505226481},
{Epoch 15, Train_Loss: 0.20981620252132416, Valid_Loss: 0.1497461050748825, Accuracy: 88.85017421602788},
{Epoch 16, Train_Loss: 0.04890532046556473, Valid_Loss: 0.2825028896331787, Accuracy: 92.6829268292683},
{Epoch 17, Train_Loss: 0.035544734448194504, Valid_Loss: 0.052923280745744705, Accuracy: 93.03135888501743},
{Epoch 18, Train_Loss: 0.23435837030410767, Valid_Loss: 0.28181806206703186, Accuracy: 85.36585365853658},
{Epoch 19, Train_Loss: 0.10802554339170456, Valid_Loss: 0.6557382941246033, Accuracy: 81.18466898954703},
{Epoch 20, Train_Loss: 0.047567885369062424, Valid_Loss: 0.4197194576263428, Accuracy: 89.54703832752614},
{Epoch 21, Train_Loss: 0.08357817679643631, Valid_Loss: 0.3315961956977844, Accuracy: 85.01742160278745},
{Epoch 22, Train_Loss: 0.051564350724220276, Valid_Loss: 0.5678476095199585, Accuracy: 80.48780487804878},
