{Epoch 0, Train_Loss: 0.2474391907453537, Valid_Loss: 7.261054039001465, Accuracy: 19.3},
{Epoch 1, Train_Loss: 0.6130561232566833, Valid_Loss: 4.852189064025879, Accuracy: 20.563139931740615},
{Epoch 2, Train_Loss: 0.876208484172821, Valid_Loss: 5.058403968811035, Accuracy: 25.79425113464448},
{Epoch 3, Train_Loss: 0.806161105632782, Valid_Loss: 6.8397040367126465, Accuracy: 31.043956043956044},
{Epoch 4, Train_Loss: 0.377095490694046, Valid_Loss: 5.146055221557617, Accuracy: 33.7555414819506},
{Epoch 5, Train_Loss: 0.3856019973754883, Valid_Loss: 6.7607197761535645, Accuracy: 35.499113998818665},
{Epoch 6, Train_Loss: 0.21669499576091766, Valid_Loss: 6.7366228103637695, Accuracy: 35.611111111111114},
{Epoch 7, Train_Loss: 0.4041101038455963, Valid_Loss: 7.015847206115723, Accuracy: 36.98053655970542},
{Epoch 8, Train_Loss: 0.34538522362709045, Valid_Loss: 6.43878698348999, Accuracy: 36.85528292438658},
{Epoch 9, Train_Loss: 0.15539203584194183, Valid_Loss: 5.925894737243652, Accuracy: 37.83524904214559},
{Epoch 10, Train_Loss: 0.320620596408844, Valid_Loss: 4.31838846206665, Accuracy: 39.49425287356322},
{Epoch 11, Train_Loss: 0.4394542872905731, Valid_Loss: 6.145039081573486, Accuracy: 40.991589198760515},
{Epoch 12, Train_Loss: 0.5088646411895752, Valid_Loss: 5.060074806213379, Accuracy: 43.07692307692308},
{Epoch 13, Train_Loss: 0.33527588844299316, Valid_Loss: 6.0775532722473145, Accuracy: 44.334160463192724},
{Epoch 14, Train_Loss: 0.5247398018836975, Valid_Loss: 5.749203205108643, Accuracy: 44.34643143544507},
{Epoch 15, Train_Loss: 0.1677498072385788, Valid_Loss: 3.9024479389190674, Accuracy: 44.85981308411215},
{Epoch 16, Train_Loss: 0.631308913230896, Valid_Loss: 4.071413993835449, Accuracy: 47.404319818112924},
{Epoch 17, Train_Loss: 1.6374292373657227, Valid_Loss: 4.001929759979248, Accuracy: 49.741506646971935},
{Epoch 18, Train_Loss: 0.3255099952220917, Valid_Loss: 2.648435115814209, Accuracy: 51.3328530259366},
{Epoch 19, Train_Loss: 0.3460850417613983, Valid_Loss: 3.734133720397949, Accuracy: 51.724137931034484},
{Epoch 20, Train_Loss: 0.9030790328979492, Valid_Loss: 6.062233924865723, Accuracy: 51.56518747850017},
{Epoch 21, Train_Loss: 0.28277724981307983, Valid_Loss: 3.419670581817627, Accuracy: 53.13131313131313},
{Epoch 22, Train_Loss: 0.34673359990119934, Valid_Loss: 4.714273452758789, Accuracy: 53.3311345646438},
{Epoch 23, Train_Loss: 0.25105106830596924, Valid_Loss: 3.7927892208099365, Accuracy: 53.86356288393146},
{Epoch 24, Train_Loss: 0.5329523682594299, Valid_Loss: 3.1210083961486816, Accuracy: 57.20177664974619},
{Epoch 25, Train_Loss: 0.6466083526611328, Valid_Loss: 4.53389835357666, Accuracy: 58.348909657320874},
