{Epoch 0, Train_Loss: 0.863694965839386, Valid_Loss: 1.3931723833084106, Accuracy: 26.829268292682926},
{Epoch 1, Train_Loss: 1.0191407203674316, Valid_Loss: 2.410991907119751, Accuracy: 9.059233449477352},
{Epoch 2, Train_Loss: 0.44262269139289856, Valid_Loss: 2.2340810298919678, Accuracy: 17.073170731707318},
{Epoch 3, Train_Loss: 0.5839806199073792, Valid_Loss: 1.0750813484191895, Accuracy: 52.961672473867594},
{Epoch 4, Train_Loss: 0.6808682680130005, Valid_Loss: 2.8908705711364746, Accuracy: 8.710801393728223},
{Epoch 5, Train_Loss: 0.5022127628326416, Valid_Loss: 2.640591859817505, Accuracy: 13.240418118466899},
{Epoch 6, Train_Loss: 0.37325623631477356, Valid_Loss: 3.583209276199341, Accuracy: 15.679442508710801},
{Epoch 7, Train_Loss: 0.14901861548423767, Valid_Loss: 2.1356680393218994, Accuracy: 29.61672473867596},
{Epoch 8, Train_Loss: 0.3108879029750824, Valid_Loss: 1.8322136402130127, Accuracy: 32.40418118466899},
{Epoch 9, Train_Loss: 0.2959432303905487, Valid_Loss: 3.105637550354004, Accuracy: 20.557491289198605},
{Epoch 10, Train_Loss: 0.17829279601573944, Valid_Loss: 2.6720645427703857, Accuracy: 20.905923344947734},
{Epoch 11, Train_Loss: 0.42034614086151123, Valid_Loss: 4.6961989402771, Accuracy: 2.4390243902439024},
{Epoch 12, Train_Loss: 0.09398185461759567, Valid_Loss: 2.2975964546203613, Accuracy: 37.97909407665505},
{Epoch 13, Train_Loss: 0.0565841905772686, Valid_Loss: 3.228635311126709, Accuracy: 17.770034843205575},
{Epoch 14, Train_Loss: 0.053386956453323364, Valid_Loss: 2.497584819793701, Accuracy: 39.721254355400696},
{Epoch 15, Train_Loss: 0.014738066121935844, Valid_Loss: 2.4149222373962402, Accuracy: 36.933797909407666},
{Epoch 16, Train_Loss: 0.08917003870010376, Valid_Loss: 2.6991801261901855, Accuracy: 33.79790940766551},
{Epoch 17, Train_Loss: 0.06714032590389252, Valid_Loss: 1.6865077018737793, Accuracy: 52.961672473867594},
{Epoch 18, Train_Loss: 0.013796108774840832, Valid_Loss: 2.361724853515625, Accuracy: 36.23693379790941},
{Epoch 19, Train_Loss: 0.15875308215618134, Valid_Loss: 1.2296380996704102, Accuracy: 52.613240418118465},
{Epoch 20, Train_Loss: 0.04867160692811012, Valid_Loss: 1.9546163082122803, Accuracy: 56.79442508710802},
{Epoch 21, Train_Loss: 0.018527992069721222, Valid_Loss: 2.284053087234497, Accuracy: 41.46341463414634},
{Epoch 22, Train_Loss: 0.023853955790400505, Valid_Loss: 3.3997581005096436, Accuracy: 34.146341463414636},
{Epoch 23, Train_Loss: 0.027995670214295387, Valid_Loss: 3.153724431991577, Accuracy: 35.19163763066202},
{Epoch 24, Train_Loss: 0.023196065798401833, Valid_Loss: 4.183528423309326, Accuracy: 28.9198606271777},
{Epoch 25, Train_Loss: 0.009501302614808083, Valid_Loss: 3.600114345550537, Accuracy: 36.58536585365854},
{Epoch 26, Train_Loss: 0.01367927622050047, Valid_Loss: 2.6317801475524902, Accuracy: 44.94773519163763},
{Epoch 27, Train_Loss: 0.003735019825398922, Valid_Loss: 3.9124562740325928, Accuracy: 34.146341463414636},
{Epoch 28, Train_Loss: 0.02961878664791584, Valid_Loss: 2.0364975929260254, Accuracy: 50.174216027874564},
{Epoch 29, Train_Loss: 0.003463590517640114, Valid_Loss: 3.3181979656219482, Accuracy: 39.37282229965157},
{Epoch 30, Train_Loss: 0.010337906889617443, Valid_Loss: 3.071596145629883, Accuracy: 34.146341463414636},
{Epoch 31, Train_Loss: 0.00782997626811266, Valid_Loss: 3.085975170135498, Accuracy: 38.67595818815331},
{Epoch 32, Train_Loss: 0.0047142175026237965, Valid_Loss: 3.0035080909729004, Accuracy: 37.63066202090592},
{Epoch 33, Train_Loss: 0.014406637288630009, Valid_Loss: 3.361804723739624, Accuracy: 35.54006968641115},
{Epoch 34, Train_Loss: 0.012642035260796547, Valid_Loss: 4.3555755615234375, Accuracy: 30.662020905923345},
{Epoch 35, Train_Loss: 0.0012426915345713496, Valid_Loss: 3.108245849609375, Accuracy: 44.94773519163763},
