{Epoch 0, Train_Loss: 1.752436876296997, Valid_Loss: 0.9457583427429199, Accuracy: 45.04},
{Epoch 1, Train_Loss: 1.2430256605148315, Valid_Loss: 1.5489182472229004, Accuracy: 54.24},
{Epoch 2, Train_Loss: 1.3409404754638672, Valid_Loss: 1.2486062049865723, Accuracy: 61.16},
{Epoch 3, Train_Loss: 0.4859165847301483, Valid_Loss: 0.7560439109802246, Accuracy: 65.64},
{Epoch 4, Train_Loss: 0.6373058557510376, Valid_Loss: 1.3900306224822998, Accuracy: 68.22},
{Epoch 5, Train_Loss: 1.288412094116211, Valid_Loss: 1.6167082786560059, Accuracy: 69.02},
{Epoch 6, Train_Loss: 0.4394698739051819, Valid_Loss: 1.2934491634368896, Accuracy: 70.08},
{Epoch 7, Train_Loss: 1.124942421913147, Valid_Loss: 0.4400922358036041, Accuracy: 73.26},
{Epoch 8, Train_Loss: 0.858594536781311, Valid_Loss: 0.24330934882164001, Accuracy: 74.98},
{Epoch 9, Train_Loss: 0.7323388457298279, Valid_Loss: 0.9681172370910645, Accuracy: 75.7},
{Epoch 10, Train_Loss: 0.3891552984714508, Valid_Loss: 0.5389066338539124, Accuracy: 76.22},
{Epoch 11, Train_Loss: 0.37868455052375793, Valid_Loss: 1.4961254596710205, Accuracy: 76.78},
{Epoch 12, Train_Loss: 0.5236523151397705, Valid_Loss: 0.3356933891773224, Accuracy: 77.22},
{Epoch 13, Train_Loss: 0.6263977885246277, Valid_Loss: 0.6706973314285278, Accuracy: 77.54},
{Epoch 14, Train_Loss: 0.6654009819030762, Valid_Loss: 0.4306173026561737, Accuracy: 79.18},
{Epoch 15, Train_Loss: 0.6714706420898438, Valid_Loss: 0.5906935930252075, Accuracy: 79.42},
{Epoch 16, Train_Loss: 0.4127575755119324, Valid_Loss: 0.41343045234680176, Accuracy: 78.44},
{Epoch 17, Train_Loss: 0.3277585804462433, Valid_Loss: 0.5561981797218323, Accuracy: 79.5},
{Epoch 18, Train_Loss: 0.34389185905456543, Valid_Loss: 0.3665037751197815, Accuracy: 80.22},
{Epoch 19, Train_Loss: 0.16149461269378662, Valid_Loss: 0.7885575294494629, Accuracy: 80.44},
{Epoch 20, Train_Loss: 0.11985427886247635, Valid_Loss: 0.2215031385421753, Accuracy: 81.04},
{Epoch 21, Train_Loss: 0.277449369430542, Valid_Loss: 0.6708088517189026, Accuracy: 79.98},
{Epoch 22, Train_Loss: 0.4213022291660309, Valid_Loss: 0.07032223790884018, Accuracy: 81.68},
{Epoch 23, Train_Loss: 0.5016239285469055, Valid_Loss: 0.2449585348367691, Accuracy: 80.64},
{Epoch 24, Train_Loss: 0.5235611200332642, Valid_Loss: 0.651506781578064, Accuracy: 81.2},
{Epoch 25, Train_Loss: 0.31049180030822754, Valid_Loss: 0.5250284075737, Accuracy: 81.96},
{Epoch 26, Train_Loss: 0.19118957221508026, Valid_Loss: 1.4786128997802734, Accuracy: 81.78},
{Epoch 27, Train_Loss: 0.23503924906253815, Valid_Loss: 0.48408323526382446, Accuracy: 81.84},
{Epoch 28, Train_Loss: 0.23060064017772675, Valid_Loss: 0.48998165130615234, Accuracy: 81.36},
{Epoch 29, Train_Loss: 0.2165263295173645, Valid_Loss: 0.49762871861457825, Accuracy: 81.88},
{Epoch 30, Train_Loss: 0.3144274353981018, Valid_Loss: 0.13452614843845367, Accuracy: 82.82},
{Epoch 31, Train_Loss: 0.07902133464813232, Valid_Loss: 0.4335446357727051, Accuracy: 82.4},
{Epoch 32, Train_Loss: 0.35152578353881836, Valid_Loss: 0.3018966615200043, Accuracy: 82.82},
{Epoch 33, Train_Loss: 0.49612244963645935, Valid_Loss: 0.27186810970306396, Accuracy: 82.84},
{Epoch 34, Train_Loss: 0.14863313734531403, Valid_Loss: 2.6547133922576904, Accuracy: 82.18},
{Epoch 35, Train_Loss: 1.1680958271026611, Valid_Loss: 1.3878817558288574, Accuracy: 83.44},
{Epoch 36, Train_Loss: 0.13763824105262756, Valid_Loss: 1.6469807624816895, Accuracy: 82.8},
{Epoch 37, Train_Loss: 0.3793450593948364, Valid_Loss: 0.34778422117233276, Accuracy: 83.12},
{Epoch 38, Train_Loss: 0.14197680354118347, Valid_Loss: 0.9695116877555847, Accuracy: 83.08},
{Epoch 39, Train_Loss: 0.0302496999502182, Valid_Loss: 1.6471855640411377, Accuracy: 82.52},
{Epoch 40, Train_Loss: 0.1131853386759758, Valid_Loss: 1.2009564638137817, Accuracy: 83.3},
{Epoch 41, Train_Loss: 0.01863129995763302, Valid_Loss: 0.7877656817436218, Accuracy: 83.94},
{Epoch 42, Train_Loss: 0.8954380750656128, Valid_Loss: 1.3357270956039429, Accuracy: 84.16},
{Epoch 43, Train_Loss: 0.5075066685676575, Valid_Loss: 0.08851483464241028, Accuracy: 83.68},
{Epoch 44, Train_Loss: 0.29453331232070923, Valid_Loss: 1.7720375061035156, Accuracy: 84.2},
{Epoch 45, Train_Loss: 0.019167302176356316, Valid_Loss: 0.10387420654296875, Accuracy: 84.42},
{Epoch 46, Train_Loss: 0.10535123944282532, Valid_Loss: 1.9152477979660034, Accuracy: 84.3},
{Epoch 47, Train_Loss: 0.03111022152006626, Valid_Loss: 1.3065119981765747, Accuracy: 84.26},
{Epoch 48, Train_Loss: 0.02150135114789009, Valid_Loss: 1.2555391788482666, Accuracy: 84.56},
{Epoch 49, Train_Loss: 0.31774020195007324, Valid_Loss: 0.5447182655334473, Accuracy: 83.62},
{Epoch 50, Train_Loss: 0.13904282450675964, Valid_Loss: 1.3431636095046997, Accuracy: 84.7},
{Epoch 51, Train_Loss: 0.2283095419406891, Valid_Loss: 0.05784209817647934, Accuracy: 85.1},
{Epoch 52, Train_Loss: 0.234935462474823, Valid_Loss: 0.4335458278656006, Accuracy: 83.86},
{Epoch 53, Train_Loss: 0.018567238003015518, Valid_Loss: 0.7434818148612976, Accuracy: 84.9},
{Epoch 54, Train_Loss: 0.00929580070078373, Valid_Loss: 0.31557196378707886, Accuracy: 84.24},
{Epoch 55, Train_Loss: 0.018717849627137184, Valid_Loss: 2.035003185272217, Accuracy: 84.82},
{Epoch 56, Train_Loss: 0.17582063376903534, Valid_Loss: 0.5726932287216187, Accuracy: 84.34},
{Epoch 57, Train_Loss: 0.004429919179528952, Valid_Loss: 0.06283410638570786, Accuracy: 85.42},
{Epoch 58, Train_Loss: 0.06537792086601257, Valid_Loss: 0.13103772699832916, Accuracy: 85.52},
{Epoch 59, Train_Loss: 0.01796441525220871, Valid_Loss: 0.6110825538635254, Accuracy: 85.14},
{Epoch 60, Train_Loss: 0.010059618391096592, Valid_Loss: 1.2907030582427979, Accuracy: 85.46},
{Epoch 61, Train_Loss: 0.05863308534026146, Valid_Loss: 0.5446560382843018, Accuracy: 85.14},
{Epoch 62, Train_Loss: 0.3794208765029907, Valid_Loss: 1.5273877382278442, Accuracy: 84.36},
{Epoch 63, Train_Loss: 0.3060747981071472, Valid_Loss: 0.942144513130188, Accuracy: 84.82},
{Epoch 64, Train_Loss: 0.010045578703284264, Valid_Loss: 1.0345659255981445, Accuracy: 85.58},
{Epoch 65, Train_Loss: 0.18956243991851807, Valid_Loss: 0.647574782371521, Accuracy: 85.74},
