{Epoch 0, Train_Loss: 0.7218636274337769, Valid_Loss: 0.5222249031066895, Accuracy: 66.76},
{Epoch 1, Train_Loss: 0.303777277469635, Valid_Loss: 0.5873696804046631, Accuracy: 78.04},
{Epoch 2, Train_Loss: 1.6405200958251953, Valid_Loss: 0.2577282190322876, Accuracy: 80.66},
{Epoch 3, Train_Loss: 0.20655401051044464, Valid_Loss: 0.9595222473144531, Accuracy: 82.76},
{Epoch 4, Train_Loss: 0.758067786693573, Valid_Loss: 0.2847578823566437, Accuracy: 84.46},
{Epoch 5, Train_Loss: 0.29563793540000916, Valid_Loss: 0.5116623044013977, Accuracy: 84.68},
{Epoch 6, Train_Loss: 0.5015710592269897, Valid_Loss: 0.8880264759063721, Accuracy: 85.2},
{Epoch 7, Train_Loss: 0.294617623090744, Valid_Loss: 0.6719502210617065, Accuracy: 86.06},
{Epoch 8, Train_Loss: 0.9222897291183472, Valid_Loss: 0.6887103319168091, Accuracy: 86.12},
{Epoch 9, Train_Loss: 0.2106420397758484, Valid_Loss: 0.378053218126297, Accuracy: 87.02},
{Epoch 10, Train_Loss: 0.626562237739563, Valid_Loss: 0.8904788494110107, Accuracy: 87.42},
{Epoch 11, Train_Loss: 0.23139546811580658, Valid_Loss: 0.4398384988307953, Accuracy: 87.48},
{Epoch 12, Train_Loss: 0.01918206922709942, Valid_Loss: 0.031874604523181915, Accuracy: 87.5},
{Epoch 13, Train_Loss: 0.7855250835418701, Valid_Loss: 0.39759525656700134, Accuracy: 88.16},
{Epoch 14, Train_Loss: 0.09828454256057739, Valid_Loss: 0.11077215522527695, Accuracy: 88.16},
{Epoch 15, Train_Loss: 0.07776165753602982, Valid_Loss: 0.4015698730945587, Accuracy: 88.16},
{Epoch 16, Train_Loss: 0.4184822142124176, Valid_Loss: 0.2537575662136078, Accuracy: 87.88},
{Epoch 17, Train_Loss: 0.02750851958990097, Valid_Loss: 0.16025298833847046, Accuracy: 88.7},
{Epoch 18, Train_Loss: 0.19638782739639282, Valid_Loss: 0.10377718508243561, Accuracy: 88.54},
{Epoch 19, Train_Loss: 0.12003989517688751, Valid_Loss: 0.03182036802172661, Accuracy: 88.9},
{Epoch 20, Train_Loss: 0.0463949590921402, Valid_Loss: 0.07656033337116241, Accuracy: 88.7},
{Epoch 21, Train_Loss: 0.12180812656879425, Valid_Loss: 0.38826829195022583, Accuracy: 89.04},
{Epoch 22, Train_Loss: 0.4901769161224365, Valid_Loss: 0.03744816035032272, Accuracy: 88.46},
{Epoch 23, Train_Loss: 0.2918887734413147, Valid_Loss: 0.039858244359493256, Accuracy: 88.76},
{Epoch 24, Train_Loss: 0.2133871614933014, Valid_Loss: 0.5082709789276123, Accuracy: 88.76},
