{Epoch 0, Train_Loss: 0.9217771887779236, Valid_Loss: 0.8666800856590271, Accuracy: 68.54},
{Epoch 1, Train_Loss: 0.28287988901138306, Valid_Loss: 0.19440452754497528, Accuracy: 78.14},
{Epoch 2, Train_Loss: 0.6684796810150146, Valid_Loss: 0.5468606948852539, Accuracy: 81.84},
{Epoch 3, Train_Loss: 0.5315846800804138, Valid_Loss: 0.43218669295310974, Accuracy: 83.0},
{Epoch 4, Train_Loss: 0.1675848364830017, Valid_Loss: 0.39763379096984863, Accuracy: 85.24},
{Epoch 5, Train_Loss: 0.24621932208538055, Valid_Loss: 0.6749013662338257, Accuracy: 85.16},
{Epoch 6, Train_Loss: 0.3618926405906677, Valid_Loss: 0.02061367593705654, Accuracy: 85.86},
{Epoch 7, Train_Loss: 0.33596768975257874, Valid_Loss: 0.13918665051460266, Accuracy: 86.26},
{Epoch 8, Train_Loss: 0.17294268310070038, Valid_Loss: 0.11584607511758804, Accuracy: 86.26},
{Epoch 9, Train_Loss: 0.35601720213890076, Valid_Loss: 0.011736957356333733, Accuracy: 87.44},
{Epoch 10, Train_Loss: 0.050964709371328354, Valid_Loss: 0.16801683604717255, Accuracy: 87.44},
{Epoch 11, Train_Loss: 0.0709553137421608, Valid_Loss: 0.43531534075737, Accuracy: 87.92},
{Epoch 12, Train_Loss: 0.08424194902181625, Valid_Loss: 0.2075202912092209, Accuracy: 87.62},
{Epoch 13, Train_Loss: 0.0819813683629036, Valid_Loss: 0.41638073325157166, Accuracy: 87.76},
{Epoch 14, Train_Loss: 0.094085693359375, Valid_Loss: 1.1996484994888306, Accuracy: 87.72},
{Epoch 15, Train_Loss: 0.6174723505973816, Valid_Loss: 0.4838826060295105, Accuracy: 88.14},
{Epoch 16, Train_Loss: 0.009191395714879036, Valid_Loss: 0.4282166063785553, Accuracy: 88.12},
{Epoch 17, Train_Loss: 0.1673414707183838, Valid_Loss: 0.021745214238762856, Accuracy: 88.56},
{Epoch 18, Train_Loss: 0.1217779889702797, Valid_Loss: 0.369695782661438, Accuracy: 87.02},
{Epoch 19, Train_Loss: 0.20637717843055725, Valid_Loss: 0.06452735513448715, Accuracy: 88.66},
{Epoch 20, Train_Loss: 0.024699147790670395, Valid_Loss: 0.5791717171669006, Accuracy: 87.96},
{Epoch 21, Train_Loss: 0.026017069816589355, Valid_Loss: 0.5042332410812378, Accuracy: 89.66},
{Epoch 22, Train_Loss: 0.6491348743438721, Valid_Loss: 0.6630793213844299, Accuracy: 88.92},
{Epoch 23, Train_Loss: 0.1680324226617813, Valid_Loss: 0.4568967819213867, Accuracy: 88.44},
{Epoch 24, Train_Loss: 0.14970798790454865, Valid_Loss: 0.08092278987169266, Accuracy: 89.16},
{Epoch 25, Train_Loss: 0.08019648492336273, Valid_Loss: 0.4252856373786926, Accuracy: 87.68},
{Epoch 26, Train_Loss: 0.023946702480316162, Valid_Loss: 0.3152494728565216, Accuracy: 89.16},
{Epoch 27, Train_Loss: 0.24691778421401978, Valid_Loss: 0.3939099907875061, Accuracy: 88.92},
{Epoch 28, Train_Loss: 0.042654190212488174, Valid_Loss: 0.01696879044175148, Accuracy: 89.14},
{Epoch 29, Train_Loss: 0.3559618294239044, Valid_Loss: 0.025644132867455482, Accuracy: 88.72},
{Epoch 30, Train_Loss: 0.02979045733809471, Valid_Loss: 0.05639422684907913, Accuracy: 88.92},
{Epoch 31, Train_Loss: 0.13903456926345825, Valid_Loss: 0.03398523107171059, Accuracy: 89.0},
{Epoch 32, Train_Loss: 0.3598036766052246, Valid_Loss: 0.0424143448472023, Accuracy: 88.82},
{Epoch 33, Train_Loss: 0.05236346647143364, Valid_Loss: 0.015577628277242184, Accuracy: 89.66},
{Epoch 34, Train_Loss: 0.020344005897641182, Valid_Loss: 0.13525047898292542, Accuracy: 89.14},
{Epoch 35, Train_Loss: 0.30397793650627136, Valid_Loss: 1.0244836807250977, Accuracy: 89.28},
{Epoch 36, Train_Loss: 0.03697315976023674, Valid_Loss: 0.10199400037527084, Accuracy: 89.7},
{Epoch 37, Train_Loss: 0.11256231367588043, Valid_Loss: 0.8729026317596436, Accuracy: 89.22},
{Epoch 38, Train_Loss: 0.1042453870177269, Valid_Loss: 0.17652782797813416, Accuracy: 88.96},
{Epoch 39, Train_Loss: 0.10813337564468384, Valid_Loss: 0.3329145312309265, Accuracy: 89.34},
{Epoch 40, Train_Loss: 0.03952005133032799, Valid_Loss: 0.17037463188171387, Accuracy: 89.14},
{Epoch 41, Train_Loss: 0.002805915893986821, Valid_Loss: 0.8630122542381287, Accuracy: 88.74},
{Epoch 42, Train_Loss: 0.10897716134786606, Valid_Loss: 0.04199421778321266, Accuracy: 88.86},
{Epoch 43, Train_Loss: 0.029458409175276756, Valid_Loss: 0.8611146807670593, Accuracy: 88.24},
{Epoch 44, Train_Loss: 0.007227552589029074, Valid_Loss: 0.5762354731559753, Accuracy: 88.84},
{Epoch 45, Train_Loss: 0.07771041244268417, Valid_Loss: 0.44730839133262634, Accuracy: 88.64},
{Epoch 46, Train_Loss: 0.06119352579116821, Valid_Loss: 0.012086180970072746, Accuracy: 89.58},
{Epoch 47, Train_Loss: 0.2346208095550537, Valid_Loss: 0.012006373144686222, Accuracy: 88.96},
{Epoch 48, Train_Loss: 0.5742953419685364, Valid_Loss: 0.5537233948707581, Accuracy: 88.96},
{Epoch 49, Train_Loss: 0.06778980046510696, Valid_Loss: 0.12174655497074127, Accuracy: 88.44},
{Epoch 50, Train_Loss: 0.2444618046283722, Valid_Loss: 1.1388415098190308, Accuracy: 90.04},
{Epoch 51, Train_Loss: 0.016238311305642128, Valid_Loss: 0.054032038897275925, Accuracy: 88.88},
{Epoch 52, Train_Loss: 0.31074151396751404, Valid_Loss: 0.21913520991802216, Accuracy: 89.2},
{Epoch 53, Train_Loss: 0.385669469833374, Valid_Loss: 0.16804039478302002, Accuracy: 89.0},
{Epoch 54, Train_Loss: 0.06779264658689499, Valid_Loss: 0.3152168393135071, Accuracy: 89.54},
{Epoch 55, Train_Loss: 0.19412308931350708, Valid_Loss: 0.8670020699501038, Accuracy: 89.7},
{Epoch 56, Train_Loss: 0.02928447723388672, Valid_Loss: 0.18232834339141846, Accuracy: 88.82},
{Epoch 57, Train_Loss: 0.16678567230701447, Valid_Loss: 1.5712697505950928, Accuracy: 88.42},
{Epoch 58, Train_Loss: 0.0769096091389656, Valid_Loss: 0.21255923807621002, Accuracy: 89.12},
{Epoch 59, Train_Loss: 0.12016373127698898, Valid_Loss: 0.4455358386039734, Accuracy: 89.22},
{Epoch 60, Train_Loss: 0.1300257295370102, Valid_Loss: 0.14394542574882507, Accuracy: 89.88},
{Epoch 61, Train_Loss: 0.8058510422706604, Valid_Loss: 0.01665293052792549, Accuracy: 88.54},
