{Epoch 0, Train_Loss: 0.7044620513916016, Valid_Loss: 0.7441913485527039, Accuracy: 82.61703760552571, RMSE: 19.28053855895996},
{Epoch 1, Train_Loss: 0.9154701232910156, Valid_Loss: 0.8072251081466675, Accuracy: 82.61703760552571, RMSE: 13.021720886230469},
{Epoch 2, Train_Loss: 0.5475567579269409, Valid_Loss: 0.5857295393943787, Accuracy: 82.61703760552571, RMSE: 15.879984855651855},
{Epoch 3, Train_Loss: 0.5455203056335449, Valid_Loss: 0.7813754081726074, Accuracy: 82.65541059094397, RMSE: 16.418441772460938},
{Epoch 4, Train_Loss: 0.5074095129966736, Valid_Loss: 0.6203607320785522, Accuracy: 82.65541059094397, RMSE: 13.752470016479492},
{Epoch 5, Train_Loss: 0.6265273094177246, Valid_Loss: 0.4434533417224884, Accuracy: 82.65541059094397, RMSE: 15.879984855651855},
{Epoch 6, Train_Loss: 0.6115850806236267, Valid_Loss: 0.74195396900177, Accuracy: 82.69378357636224, RMSE: 12.853692054748535},
{Epoch 7, Train_Loss: 0.8114182949066162, Valid_Loss: 1.1509673595428467, Accuracy: 82.57866462010745, RMSE: 21.31543731689453},
{Epoch 8, Train_Loss: 0.5466180443763733, Valid_Loss: 0.8984389305114746, Accuracy: 82.61703760552571, RMSE: 32.70420837402344},
{Epoch 9, Train_Loss: 1.067326307296753, Valid_Loss: 0.5659265518188477, Accuracy: 82.92402148887183, RMSE: 13.752470016479492},
{Epoch 10, Train_Loss: 0.6209431886672974, Valid_Loss: 0.8039799332618713, Accuracy: 82.88564850345357, RMSE: 13.909646987915039},
{Epoch 11, Train_Loss: 0.6308920979499817, Valid_Loss: 0.4365620017051697, Accuracy: 83.0775134305449, RMSE: 14.744195938110352},
{Epoch 12, Train_Loss: 0.49886760115623474, Valid_Loss: 0.5245603322982788, Accuracy: 83.03914044512663, RMSE: 16.151456832885742},

{******************************Training finished**********************************},
