{Epoch 0, Train_Loss: 1.1823683977127075, Valid_Loss: 2.486060380935669, Accuracy: 10.801393728222996},
{Epoch 1, Train_Loss: 0.8767678737640381, Valid_Loss: 2.376569986343384, Accuracy: 16.72473867595819},
{Epoch 2, Train_Loss: 0.6498671770095825, Valid_Loss: 2.52986741065979, Accuracy: 16.027874564459932},
{Epoch 3, Train_Loss: 0.6007049083709717, Valid_Loss: 2.965089797973633, Accuracy: 10.801393728222996},
{Epoch 4, Train_Loss: 0.4074753522872925, Valid_Loss: 3.125751256942749, Accuracy: 19.51219512195122},
{Epoch 5, Train_Loss: 0.18846501410007477, Valid_Loss: 3.180621862411499, Accuracy: 17.770034843205575},
{Epoch 6, Train_Loss: 0.33491137623786926, Valid_Loss: 3.469871997833252, Accuracy: 14.285714285714286},
{Epoch 7, Train_Loss: 0.2285294383764267, Valid_Loss: 3.3403475284576416, Accuracy: 13.240418118466899},
{Epoch 8, Train_Loss: 0.2804041802883148, Valid_Loss: 3.6558187007904053, Accuracy: 14.982578397212544},
{Epoch 9, Train_Loss: 0.09573157876729965, Valid_Loss: 3.1512603759765625, Accuracy: 19.51219512195122},
{Epoch 10, Train_Loss: 0.02102755196392536, Valid_Loss: 3.4898505210876465, Accuracy: 19.860627177700348},
{Epoch 11, Train_Loss: 0.030759034678339958, Valid_Loss: 3.7430624961853027, Accuracy: 17.073170731707318},
{Epoch 12, Train_Loss: 0.027573617175221443, Valid_Loss: 3.885817289352417, Accuracy: 17.073170731707318},
{Epoch 13, Train_Loss: 0.005798921454697847, Valid_Loss: 4.314973831176758, Accuracy: 17.770034843205575},
{Epoch 14, Train_Loss: 0.024968929588794708, Valid_Loss: 4.064770698547363, Accuracy: 18.466898954703833},
{Epoch 15, Train_Loss: 0.009578914381563663, Valid_Loss: 4.217348098754883, Accuracy: 17.421602787456447},
{Epoch 16, Train_Loss: 0.005347386002540588, Valid_Loss: 4.404184341430664, Accuracy: 18.81533101045296},
{Epoch 17, Train_Loss: 0.018300384283065796, Valid_Loss: 4.463484764099121, Accuracy: 20.209059233449477},
{Epoch 18, Train_Loss: 0.03358813375234604, Valid_Loss: 4.515312671661377, Accuracy: 17.073170731707318},
{Epoch 19, Train_Loss: 0.007537550758570433, Valid_Loss: 4.208828926086426, Accuracy: 17.421602787456447},
{Epoch 20, Train_Loss: 0.002427582396194339, Valid_Loss: 4.45986795425415, Accuracy: 18.466898954703833},
{Epoch 21, Train_Loss: 0.02270261012017727, Valid_Loss: 4.298131942749023, Accuracy: 18.118466898954704},
{Epoch 22, Train_Loss: 0.0031244391575455666, Valid_Loss: 4.150070667266846, Accuracy: 19.51219512195122},
{Epoch 23, Train_Loss: 0.004423359874635935, Valid_Loss: 4.2727813720703125, Accuracy: 19.860627177700348},
{Epoch 24, Train_Loss: 0.07904540747404099, Valid_Loss: 4.866790294647217, Accuracy: 20.905923344947734},
{Epoch 25, Train_Loss: 0.001666127354837954, Valid_Loss: 4.510891437530518, Accuracy: 18.466898954703833},
{Epoch 26, Train_Loss: 0.0013290687929838896, Valid_Loss: 4.058459758758545, Accuracy: 18.118466898954704},
{Epoch 27, Train_Loss: 0.0033321105875074863, Valid_Loss: 4.344491958618164, Accuracy: 19.51219512195122},
{Epoch 28, Train_Loss: 0.014667916111648083, Valid_Loss: 3.9537670612335205, Accuracy: 20.209059233449477},
{Epoch 29, Train_Loss: 0.0019515269668772817, Valid_Loss: 4.649929523468018, Accuracy: 18.81533101045296},
{Epoch 30, Train_Loss: 0.0014013663167133927, Valid_Loss: 4.366833686828613, Accuracy: 19.16376306620209},
{Epoch 31, Train_Loss: 0.0012695781188085675, Valid_Loss: 4.383575439453125, Accuracy: 20.209059233449477},
{Epoch 32, Train_Loss: 0.0028951880522072315, Valid_Loss: 4.528658866882324, Accuracy: 20.209059233449477},
{Epoch 33, Train_Loss: 0.07573523372411728, Valid_Loss: 4.621335029602051, Accuracy: 19.860627177700348},
{Epoch 34, Train_Loss: 0.014253494329750538, Valid_Loss: 4.802170276641846, Accuracy: 18.466898954703833},
{Epoch 35, Train_Loss: 0.006560754496604204, Valid_Loss: 4.602041721343994, Accuracy: 18.466898954703833},
{Epoch 36, Train_Loss: 0.07168947160243988, Valid_Loss: 4.151854991912842, Accuracy: 14.634146341463415},
{Epoch 37, Train_Loss: 0.06619368493556976, Valid_Loss: 4.357309818267822, Accuracy: 19.860627177700348},
{Epoch 38, Train_Loss: 0.007566341198980808, Valid_Loss: 4.275385856628418, Accuracy: 18.118466898954704},
{Epoch 39, Train_Loss: 0.006583936978131533, Valid_Loss: 4.350274085998535, Accuracy: 20.209059233449477},
{Epoch 40, Train_Loss: 0.02308461256325245, Valid_Loss: 4.9232635498046875, Accuracy: 18.118466898954704},
{Epoch 41, Train_Loss: 0.044718336313962936, Valid_Loss: 4.73213529586792, Accuracy: 20.209059233449477},
{Epoch 42, Train_Loss: 0.002609253628179431, Valid_Loss: 4.519188404083252, Accuracy: 21.254355400696863},
{Epoch 43, Train_Loss: 0.02236720360815525, Valid_Loss: 4.387620449066162, Accuracy: 19.51219512195122},
{Epoch 44, Train_Loss: 0.0006437485571950674, Valid_Loss: 4.844002723693848, Accuracy: 19.51219512195122},
{Epoch 45, Train_Loss: 0.0014711370458826423, Valid_Loss: 4.507111549377441, Accuracy: 17.073170731707318},
{Epoch 46, Train_Loss: 0.0006536122527904809, Valid_Loss: 4.86448335647583, Accuracy: 18.81533101045296},
{Epoch 47, Train_Loss: 0.01412319764494896, Valid_Loss: 4.914122581481934, Accuracy: 17.421602787456447},
{Epoch 48, Train_Loss: 0.0014869177248328924, Valid_Loss: 4.908777713775635, Accuracy: 17.770034843205575},
{Epoch 49, Train_Loss: 0.0006271108286455274, Valid_Loss: 4.918282508850098, Accuracy: 19.51219512195122},
{Epoch 50, Train_Loss: 0.007385423872619867, Valid_Loss: 5.186152935028076, Accuracy: 19.16376306620209},
{Epoch 51, Train_Loss: 0.0034582605585455894, Valid_Loss: 5.035597801208496, Accuracy: 21.254355400696863},
{Epoch 52, Train_Loss: 0.0030913129448890686, Valid_Loss: 5.145895957946777, Accuracy: 20.209059233449477},
{Epoch 53, Train_Loss: 0.0077373431995511055, Valid_Loss: 4.844019889831543, Accuracy: 21.254355400696863},
{Epoch 54, Train_Loss: 0.0018071156227961183, Valid_Loss: 4.954183578491211, Accuracy: 20.557491289198605},
{Epoch 55, Train_Loss: 0.0015278244391083717, Valid_Loss: 5.108274459838867, Accuracy: 21.254355400696863},
{Epoch 56, Train_Loss: 0.00033770632580854, Valid_Loss: 5.219290256500244, Accuracy: 20.557491289198605},
{Epoch 57, Train_Loss: 0.0004472710133995861, Valid_Loss: 5.123870849609375, Accuracy: 20.905923344947734},
{Epoch 58, Train_Loss: 0.0006180048221722245, Valid_Loss: 4.893117427825928, Accuracy: 20.557491289198605},
{Epoch 59, Train_Loss: 0.008294785395264626, Valid_Loss: 4.879766464233398, Accuracy: 19.51219512195122},
{Epoch 60, Train_Loss: 0.014398693107068539, Valid_Loss: 4.791330814361572, Accuracy: 19.51219512195122},
{Epoch 61, Train_Loss: 0.0009081166354008019, Valid_Loss: 5.100397109985352, Accuracy: 20.905923344947734},
{Epoch 62, Train_Loss: 0.0015050602378323674, Valid_Loss: 5.153006076812744, Accuracy: 17.770034843205575},
{Epoch 63, Train_Loss: 0.0009147682576440275, Valid_Loss: 5.103870391845703, Accuracy: 19.51219512195122},
{Epoch 64, Train_Loss: 0.0010992694878950715, Valid_Loss: 5.162545204162598, Accuracy: 21.254355400696863},
{Epoch 65, Train_Loss: 0.013941114768385887, Valid_Loss: 4.872999668121338, Accuracy: 19.51219512195122},
{Epoch 66, Train_Loss: 0.0028535814490169287, Valid_Loss: 5.0832414627075195, Accuracy: 21.254355400696863},
{Epoch 67, Train_Loss: 0.005142842419445515, Valid_Loss: 4.940368175506592, Accuracy: 20.905923344947734},
{Epoch 68, Train_Loss: 0.0007402450428344309, Valid_Loss: 4.707795143127441, Accuracy: 22.99651567944251},
{Epoch 69, Train_Loss: 0.0025699881371110678, Valid_Loss: 4.605081081390381, Accuracy: 20.905923344947734},

{******************************Training finished**********************************},

USING TEST SET: {loss: 1.7319562435150146, acc: 60.65989847715736}
