{Epoch 0, Train_Loss: 0.7792713046073914, Valid_Loss: 4.228902816772461, Accuracy: 0.0},
{Epoch 1, Train_Loss: 0.04350937902927399, Valid_Loss: 8.72569465637207, Accuracy: 0.0},
{Epoch 2, Train_Loss: 0.0012995162978768349, Valid_Loss: 10.44175910949707, Accuracy: 0.0},
{Epoch 3, Train_Loss: 0.001412066863849759, Valid_Loss: 10.744120597839355, Accuracy: 0.0},
{Epoch 4, Train_Loss: 0.33055242896080017, Valid_Loss: 10.422160148620605, Accuracy: 2.1739130434782608},
{Epoch 5, Train_Loss: 0.14258046448230743, Valid_Loss: 9.089237213134766, Accuracy: 3.0303030303030303},
{Epoch 6, Train_Loss: 0.6590127944946289, Valid_Loss: 8.145793914794922, Accuracy: 7.619047619047619},
{Epoch 7, Train_Loss: 0.3443944752216339, Valid_Loss: 6.194398403167725, Accuracy: 8.108108108108109},
{Epoch 8, Train_Loss: 0.06068316102027893, Valid_Loss: 5.8329081535339355, Accuracy: 12.820512820512821},
{Epoch 9, Train_Loss: 0.49004697799682617, Valid_Loss: 6.260814189910889, Accuracy: 18.0327868852459},
{Epoch 10, Train_Loss: 0.04670889675617218, Valid_Loss: 6.168807506561279, Accuracy: 21.25984251968504},
{Epoch 11, Train_Loss: 0.03909921273589134, Valid_Loss: 6.57960319519043, Accuracy: 22.727272727272727},
{Epoch 12, Train_Loss: 0.04331127926707268, Valid_Loss: 6.486677169799805, Accuracy: 27.00729927007299},
{Epoch 13, Train_Loss: 0.7539263963699341, Valid_Loss: 3.910440683364868, Accuracy: 29.078014184397162},
{Epoch 14, Train_Loss: 0.053437694907188416, Valid_Loss: 3.3440849781036377, Accuracy: 34.48275862068966},
{Epoch 15, Train_Loss: 0.16433033347129822, Valid_Loss: 3.9366366863250732, Accuracy: 30.201342281879196},
{Epoch 16, Train_Loss: 0.24731005728244781, Valid_Loss: 2.6665830612182617, Accuracy: 35.294117647058826},
{Epoch 17, Train_Loss: 0.0291458573192358, Valid_Loss: 1.7634568214416504, Accuracy: 36.30573248407644},
{Epoch 18, Train_Loss: 0.2193499654531479, Valid_Loss: 2.079695463180542, Accuracy: 39.75155279503105},
{Epoch 19, Train_Loss: 0.2349718064069748, Valid_Loss: 1.9842761754989624, Accuracy: 38.18181818181818},
{Epoch 20, Train_Loss: 0.10691247880458832, Valid_Loss: 2.1334519386291504, Accuracy: 43.19526627218935},
{Epoch 21, Train_Loss: 0.46572402119636536, Valid_Loss: 2.113591432571411, Accuracy: 43.35260115606936},
{Epoch 22, Train_Loss: 0.08484824001789093, Valid_Loss: 3.0568389892578125, Accuracy: 38.63636363636363},
{Epoch 23, Train_Loss: 0.136414036154747, Valid_Loss: 2.808231830596924, Accuracy: 44.134078212290504},
{Epoch 24, Train_Loss: 0.41796839237213135, Valid_Loss: 3.0571656227111816, Accuracy: 46.15384615384615},
{Epoch 25, Train_Loss: 0.10405465960502625, Valid_Loss: 3.1704022884368896, Accuracy: 47.567567567567565},
{Epoch 26, Train_Loss: 0.49222150444984436, Valid_Loss: 3.1260104179382324, Accuracy: 50.0},
{Epoch 27, Train_Loss: 0.13333764672279358, Valid_Loss: 3.225576877593994, Accuracy: 49.21465968586387},
{Epoch 28, Train_Loss: 0.06467052549123764, Valid_Loss: 4.357696056365967, Accuracy: 45.876288659793815},
{Epoch 29, Train_Loss: 0.06902904063463211, Valid_Loss: 0.42531317472457886, Accuracy: 55.32994923857868},
{Epoch 30, Train_Loss: 0.36176618933677673, Valid_Loss: 1.4500439167022705, Accuracy: 62.0},
{Epoch 31, Train_Loss: 0.05672255903482437, Valid_Loss: 3.383988857269287, Accuracy: 60.09852216748769},
{Epoch 32, Train_Loss: 0.054559867829084396, Valid_Loss: 2.024829149246216, Accuracy: 66.01941747572816},
{Epoch 33, Train_Loss: 0.030368251726031303, Valid_Loss: 2.5434064865112305, Accuracy: 62.67942583732057},
{Epoch 34, Train_Loss: 0.05581194534897804, Valid_Loss: 0.8041480779647827, Accuracy: 69.33962264150944},
{Epoch 35, Train_Loss: 0.019383370876312256, Valid_Loss: 3.0576164722442627, Accuracy: 76.74418604651163},
