{Epoch 0, Train_Loss: 0.33945587277412415, Valid_Loss: 4.759140968322754, Accuracy: 19.16376306620209},
{Epoch 1, Train_Loss: 0.10998403280973434, Valid_Loss: 4.720737457275391, Accuracy: 20.557491289198605},
{Epoch 2, Train_Loss: 0.053881607949733734, Valid_Loss: 4.937349796295166, Accuracy: 21.60278745644599},
{Epoch 3, Train_Loss: 0.016852056607604027, Valid_Loss: 4.982568264007568, Accuracy: 22.299651567944252},
{Epoch 4, Train_Loss: 0.030678458511829376, Valid_Loss: 5.0311279296875, Accuracy: 21.951219512195124},
{Epoch 5, Train_Loss: 0.031100504100322723, Valid_Loss: 5.0576300621032715, Accuracy: 22.64808362369338},
{Epoch 6, Train_Loss: 0.012052906677126884, Valid_Loss: 5.26549768447876, Accuracy: 22.99651567944251},
{Epoch 7, Train_Loss: 0.03021620213985443, Valid_Loss: 5.277637958526611, Accuracy: 23.34494773519164},
{Epoch 8, Train_Loss: 0.013024880550801754, Valid_Loss: 5.095424652099609, Accuracy: 25.78397212543554},
{Epoch 9, Train_Loss: 0.011758401058614254, Valid_Loss: 5.613495349884033, Accuracy: 25.087108013937282},
{Epoch 10, Train_Loss: 0.0043531968258321285, Valid_Loss: 5.498467922210693, Accuracy: 25.087108013937282},
{Epoch 11, Train_Loss: 0.03189610689878464, Valid_Loss: 5.072394371032715, Accuracy: 25.78397212543554},
{Epoch 12, Train_Loss: 0.10156799107789993, Valid_Loss: 5.1646881103515625, Accuracy: 25.087108013937282},
{Epoch 13, Train_Loss: 0.003970371559262276, Valid_Loss: 5.385471820831299, Accuracy: 24.390243902439025},
{Epoch 14, Train_Loss: 0.009266510605812073, Valid_Loss: 5.333127498626709, Accuracy: 26.13240418118467},
{Epoch 15, Train_Loss: 0.006327917333692312, Valid_Loss: 5.534720420837402, Accuracy: 26.829268292682926},
{Epoch 16, Train_Loss: 0.001620013965293765, Valid_Loss: 5.316347122192383, Accuracy: 26.13240418118467},
{Epoch 17, Train_Loss: 0.00433358596637845, Valid_Loss: 5.365736484527588, Accuracy: 26.480836236933797},
