{Epoch 0, Train_Loss: 1.8415238857269287, Valid_Loss: 1.1826114654541016, Accuracy: 41.66},
{Epoch 1, Train_Loss: 1.2610702514648438, Valid_Loss: 1.4158873558044434, Accuracy: 64.24},
{Epoch 2, Train_Loss: 0.8614861965179443, Valid_Loss: 1.1668559312820435, Accuracy: 66.78},
{Epoch 3, Train_Loss: 0.9495465159416199, Valid_Loss: 1.09024977684021, Accuracy: 69.34},
{Epoch 4, Train_Loss: 0.39714938402175903, Valid_Loss: 1.1082254648208618, Accuracy: 74.7},
{Epoch 5, Train_Loss: 1.0411962270736694, Valid_Loss: 1.6838315725326538, Accuracy: 71.5},
{Epoch 6, Train_Loss: 0.09219686686992645, Valid_Loss: 0.6782389879226685, Accuracy: 77.1},
{Epoch 7, Train_Loss: 0.5467171669006348, Valid_Loss: 1.182765007019043, Accuracy: 68.34},
{Epoch 8, Train_Loss: 0.5022785663604736, Valid_Loss: 2.780988931655884, Accuracy: 70.64},
{Epoch 9, Train_Loss: 0.2799200415611267, Valid_Loss: 0.5738663077354431, Accuracy: 72.9},
{Epoch 10, Train_Loss: 0.5306864976882935, Valid_Loss: 1.1902353763580322, Accuracy: 72.1},
{Epoch 11, Train_Loss: 0.01207714807242155, Valid_Loss: 0.6363899111747742, Accuracy: 81.44},
{Epoch 12, Train_Loss: 0.02586381882429123, Valid_Loss: 1.1349512338638306, Accuracy: 81.02},
{Epoch 13, Train_Loss: 0.06280112266540527, Valid_Loss: 1.9561538696289062, Accuracy: 81.02},
{Epoch 14, Train_Loss: 0.003563070436939597, Valid_Loss: 1.4196738004684448, Accuracy: 82.42},
{Epoch 15, Train_Loss: 0.1319151520729065, Valid_Loss: 0.6708967685699463, Accuracy: 78.6},
{Epoch 16, Train_Loss: 0.025717156007885933, Valid_Loss: 1.1916751861572266, Accuracy: 82.5},
{Epoch 17, Train_Loss: 0.09555597603321075, Valid_Loss: 3.0304598808288574, Accuracy: 79.78},
{Epoch 18, Train_Loss: 0.11250010132789612, Valid_Loss: 1.0293529033660889, Accuracy: 79.24},
{Epoch 19, Train_Loss: 0.2653689384460449, Valid_Loss: 1.364267349243164, Accuracy: 69.6},
