{Epoch 0, Train_Loss: 1.1891813278198242, Valid_Loss: 1.731297492980957, Accuracy: 48.02},
{Epoch 1, Train_Loss: 2.4152016639709473, Valid_Loss: 1.1580862998962402, Accuracy: 57.16},
{Epoch 2, Train_Loss: 0.6073480248451233, Valid_Loss: 0.44579631090164185, Accuracy: 64.52},
{Epoch 3, Train_Loss: 1.0063565969467163, Valid_Loss: 1.07850182056427, Accuracy: 69.04},
{Epoch 4, Train_Loss: 0.6488303542137146, Valid_Loss: 1.0460478067398071, Accuracy: 71.06},
{Epoch 5, Train_Loss: 1.7754219770431519, Valid_Loss: 1.2139992713928223, Accuracy: 72.34},
{Epoch 6, Train_Loss: 0.9092764854431152, Valid_Loss: 1.593287706375122, Accuracy: 74.86},
{Epoch 7, Train_Loss: 0.5709365010261536, Valid_Loss: 0.6121863722801208, Accuracy: 75.4},
{Epoch 8, Train_Loss: 1.3095329999923706, Valid_Loss: 0.5996872186660767, Accuracy: 73.72},
{Epoch 9, Train_Loss: 0.9472954273223877, Valid_Loss: 0.8974215388298035, Accuracy: 75.5},
{Epoch 10, Train_Loss: 0.4318801760673523, Valid_Loss: 0.6537082195281982, Accuracy: 75.7},
{Epoch 11, Train_Loss: 0.29034367203712463, Valid_Loss: 0.995424747467041, Accuracy: 76.88},
{Epoch 12, Train_Loss: 0.7253301739692688, Valid_Loss: 2.4528229236602783, Accuracy: 75.16},
{Epoch 13, Train_Loss: 0.5365170240402222, Valid_Loss: 0.9880982637405396, Accuracy: 76.46},
{Epoch 14, Train_Loss: 0.3392946720123291, Valid_Loss: 1.212090253829956, Accuracy: 76.56},
{Epoch 15, Train_Loss: 0.4999818205833435, Valid_Loss: 0.4926331043243408, Accuracy: 76.08},
{Epoch 16, Train_Loss: 0.09478955715894699, Valid_Loss: 0.8432185649871826, Accuracy: 76.9},
{Epoch 17, Train_Loss: 0.5449498891830444, Valid_Loss: 1.5739833116531372, Accuracy: 77.04},
{Epoch 18, Train_Loss: 0.08689600229263306, Valid_Loss: 0.031205832958221436, Accuracy: 77.66},
{Epoch 19, Train_Loss: 0.0836174488067627, Valid_Loss: 0.43039470911026, Accuracy: 78.2},
{Epoch 20, Train_Loss: 0.5987082719802856, Valid_Loss: 0.19163699448108673, Accuracy: 78.66},
{Epoch 21, Train_Loss: 0.5708714127540588, Valid_Loss: 1.1700961589813232, Accuracy: 77.74},
{Epoch 22, Train_Loss: 0.12486827373504639, Valid_Loss: 2.024597644805908, Accuracy: 78.8},
{Epoch 23, Train_Loss: 0.5414136648178101, Valid_Loss: 3.329192638397217, Accuracy: 78.76},
{Epoch 24, Train_Loss: 0.030402284115552902, Valid_Loss: 0.8377297520637512, Accuracy: 77.64},
{Epoch 25, Train_Loss: 0.09292924404144287, Valid_Loss: 1.9643703699111938, Accuracy: 79.1},
{Epoch 26, Train_Loss: 0.09479108452796936, Valid_Loss: 1.137568473815918, Accuracy: 78.92},
{Epoch 27, Train_Loss: 0.3201664388179779, Valid_Loss: 0.34173527359962463, Accuracy: 79.04},
{Epoch 28, Train_Loss: 0.13361197710037231, Valid_Loss: 0.6971914172172546, Accuracy: 78.84},
{Epoch 29, Train_Loss: 0.6270480155944824, Valid_Loss: 0.6424287557601929, Accuracy: 79.36},
{Epoch 30, Train_Loss: 0.03944834694266319, Valid_Loss: 2.208913803100586, Accuracy: 79.14},
{Epoch 31, Train_Loss: 0.020762594416737556, Valid_Loss: 1.4447550773620605, Accuracy: 79.7},
{Epoch 32, Train_Loss: 1.1653165817260742, Valid_Loss: 1.7439744472503662, Accuracy: 79.66},
{Epoch 33, Train_Loss: 0.05961139500141144, Valid_Loss: 0.7597856521606445, Accuracy: 78.34},
{Epoch 34, Train_Loss: 0.1385713517665863, Valid_Loss: 0.844727098941803, Accuracy: 79.54},
{Epoch 35, Train_Loss: 0.2009904384613037, Valid_Loss: 1.8336937427520752, Accuracy: 79.42},
{Epoch 36, Train_Loss: 0.19611160457134247, Valid_Loss: 0.966338574886322, Accuracy: 79.64},
{Epoch 37, Train_Loss: 0.14718712866306305, Valid_Loss: 1.3488517999649048, Accuracy: 79.08},
{Epoch 38, Train_Loss: 0.05660752207040787, Valid_Loss: 1.5224069356918335, Accuracy: 79.8},
{Epoch 39, Train_Loss: 0.15290617942810059, Valid_Loss: 0.7118899822235107, Accuracy: 80.04},
{Epoch 40, Train_Loss: 0.10872164368629456, Valid_Loss: 0.7832005620002747, Accuracy: 79.44},
{Epoch 41, Train_Loss: 0.07441289722919464, Valid_Loss: 2.6560633182525635, Accuracy: 79.76},
