{Epoch 0, Train_Loss: 0.8909963369369507, Valid_Loss: 1.2648367881774902, Accuracy: 56.0},
{Epoch 1, Train_Loss: 0.9807127118110657, Valid_Loss: 0.6173753142356873, Accuracy: 69.62},
{Epoch 2, Train_Loss: 0.3706854581832886, Valid_Loss: 0.28500521183013916, Accuracy: 78.78},
{Epoch 3, Train_Loss: 0.5558023452758789, Valid_Loss: 0.695537269115448, Accuracy: 77.56},
{Epoch 4, Train_Loss: 0.12267555296421051, Valid_Loss: 0.4734818637371063, Accuracy: 80.88},
{Epoch 5, Train_Loss: 0.26270243525505066, Valid_Loss: 1.810522198677063, Accuracy: 79.64},
{Epoch 6, Train_Loss: 0.1601124256849289, Valid_Loss: 0.8114223480224609, Accuracy: 79.4},
{Epoch 7, Train_Loss: 0.40350353717803955, Valid_Loss: 0.5406762957572937, Accuracy: 79.54},
{Epoch 8, Train_Loss: 0.713936448097229, Valid_Loss: 1.3951810598373413, Accuracy: 76.9},
{Epoch 9, Train_Loss: 0.013194787316024303, Valid_Loss: 1.2025946378707886, Accuracy: 81.94},
{Epoch 10, Train_Loss: 0.18935702741146088, Valid_Loss: 0.8142727613449097, Accuracy: 81.7},
{Epoch 11, Train_Loss: 0.6520487070083618, Valid_Loss: 1.267698049545288, Accuracy: 71.3},
{Epoch 12, Train_Loss: 0.2641060948371887, Valid_Loss: 1.2222821712493896, Accuracy: 80.46},
{Epoch 13, Train_Loss: 0.0011642449535429478, Valid_Loss: 0.6142593026161194, Accuracy: 82.8},
{Epoch 14, Train_Loss: 0.38142114877700806, Valid_Loss: 2.9051156044006348, Accuracy: 81.12},
{Epoch 15, Train_Loss: 0.03622080013155937, Valid_Loss: 0.33286863565444946, Accuracy: 82.48},
{Epoch 16, Train_Loss: 0.05621178448200226, Valid_Loss: 0.9086806774139404, Accuracy: 82.98},
{Epoch 17, Train_Loss: 0.017488054931163788, Valid_Loss: 0.07706037908792496, Accuracy: 83.18},
{Epoch 18, Train_Loss: 0.005936387926340103, Valid_Loss: 1.2220407724380493, Accuracy: 84.66},
{Epoch 19, Train_Loss: 0.0044257752597332, Valid_Loss: 2.242008686065674, Accuracy: 85.16},
