{Epoch 0, Train_Loss: 1.9268012046813965, Valid_Loss: 0.9423478245735168, Accuracy: 82.61703760552571, RMSE: 19.504737854003906},
{Epoch 1, Train_Loss: 1.3258163928985596, Valid_Loss: 1.677780270576477, Accuracy: 82.61703760552571, RMSE: 22.841609954833984},
{Epoch 2, Train_Loss: 0.7270863652229309, Valid_Loss: 1.0396091938018799, Accuracy: 82.61703760552571, RMSE: 16.61586570739746},
{Epoch 3, Train_Loss: 1.4155471324920654, Valid_Loss: 1.2793951034545898, Accuracy: 82.61703760552571, RMSE: 21.467872619628906},
{Epoch 4, Train_Loss: 0.9205216765403748, Valid_Loss: 1.1399431228637695, Accuracy: 82.61703760552571, RMSE: 16.55031967163086},
{Epoch 5, Train_Loss: 1.764129638671875, Valid_Loss: 1.2534431219100952, Accuracy: 82.61703760552571, RMSE: 33.3297119140625},
{Epoch 6, Train_Loss: 1.2277131080627441, Valid_Loss: 0.751806914806366, Accuracy: 82.61703760552571, RMSE: 14.890908241271973},
{Epoch 7, Train_Loss: 1.2153934240341187, Valid_Loss: 1.517957091331482, Accuracy: 82.61703760552571, RMSE: 21.058923721313477},
{Epoch 8, Train_Loss: 1.4523764848709106, Valid_Loss: 1.3809183835983276, Accuracy: 82.61703760552571, RMSE: 16.746187210083008},
{Epoch 9, Train_Loss: 1.8786935806274414, Valid_Loss: 1.3019018173217773, Accuracy: 82.61703760552571, RMSE: 23.35919952392578},
{Epoch 10, Train_Loss: 1.2761338949203491, Valid_Loss: 1.0010241270065308, Accuracy: 82.61703760552571, RMSE: 11.515584945678711},
{Epoch 11, Train_Loss: 1.870522379875183, Valid_Loss: 0.8372692465782166, Accuracy: 82.61703760552571, RMSE: 22.88914680480957},

{******************************Training finished**********************************},
