{Epoch 0, Train_Loss: 15.33314323425293, Valid_Loss: 17.131208419799805, Accuracy: 81.61933998465081},
{Epoch 1, Train_Loss: 16.858545303344727, Valid_Loss: 20.851442337036133, Accuracy: 82.11818879508826},
{Epoch 2, Train_Loss: 17.39630889892578, Valid_Loss: 17.806325912475586, Accuracy: 74.82732156561781},
{Epoch 3, Train_Loss: 9.57243824005127, Valid_Loss: 18.475011825561523, Accuracy: 0.23023791250959325},
{Epoch 4, Train_Loss: 27.59385871887207, Valid_Loss: 19.56427574157715, Accuracy: 0.0},
{Epoch 5, Train_Loss: 17.259628295898438, Valid_Loss: 12.312948226928711, Accuracy: 0.0},
{Epoch 6, Train_Loss: 16.032861709594727, Valid_Loss: 13.364457130432129, Accuracy: 0.0},
{Epoch 7, Train_Loss: 21.85478401184082, Valid_Loss: 19.972808837890625, Accuracy: 0.0},
{Epoch 8, Train_Loss: 18.883298873901367, Valid_Loss: 17.414386749267578, Accuracy: 0.0},
{Epoch 9, Train_Loss: 18.070039749145508, Valid_Loss: 22.610116958618164, Accuracy: 0.0},
{Epoch 10, Train_Loss: 12.985821723937988, Valid_Loss: 18.448518753051758, Accuracy: 0.0},
{Epoch 11, Train_Loss: 13.93783187866211, Valid_Loss: 23.523345947265625, Accuracy: 0.0},
{Epoch 12, Train_Loss: 13.477075576782227, Valid_Loss: 18.17128562927246, Accuracy: 0.0},
{Epoch 13, Train_Loss: 25.001052856445312, Valid_Loss: 23.84004783630371, Accuracy: 0.0},
{Epoch 14, Train_Loss: 16.50518226623535, Valid_Loss: 14.74714469909668, Accuracy: 0.0},
{Epoch 15, Train_Loss: 19.945980072021484, Valid_Loss: 17.374393463134766, Accuracy: 0.0},
{Epoch 16, Train_Loss: 14.471386909484863, Valid_Loss: 32.785865783691406, Accuracy: 0.0},
{Epoch 17, Train_Loss: 32.28083801269531, Valid_Loss: 19.42991828918457, Accuracy: 0.0},
{Epoch 18, Train_Loss: 19.438161849975586, Valid_Loss: 14.600476264953613, Accuracy: 0.0},
{Epoch 19, Train_Loss: 30.55538558959961, Valid_Loss: 13.8359956741333, Accuracy: 0.0},
{Epoch 20, Train_Loss: 25.151123046875, Valid_Loss: 11.426513671875, Accuracy: 0.0},
{Epoch 21, Train_Loss: 20.774478912353516, Valid_Loss: 19.891008377075195, Accuracy: 82.61703760552571},
{Epoch 22, Train_Loss: 14.59992790222168, Valid_Loss: 16.35210418701172, Accuracy: 82.61703760552571},
{Epoch 23, Train_Loss: 11.697953224182129, Valid_Loss: 20.05427360534668, Accuracy: 82.61703760552571},
{Epoch 24, Train_Loss: 19.330913543701172, Valid_Loss: 16.151456832885742, Accuracy: 82.61703760552571},
{Epoch 25, Train_Loss: 9.459053039550781, Valid_Loss: 21.76954460144043, Accuracy: 82.61703760552571},
{Epoch 26, Train_Loss: 19.668302536010742, Valid_Loss: 22.409236907958984, Accuracy: 82.61703760552571},
{Epoch 27, Train_Loss: 24.115947723388672, Valid_Loss: 19.224079132080078, Accuracy: 82.61703760552571},
{Epoch 28, Train_Loss: 26.556791305541992, Valid_Loss: 14.963724136352539, Accuracy: 82.61703760552571},
{Epoch 29, Train_Loss: 22.3017578125, Valid_Loss: 15.036188125610352, Accuracy: 82.61703760552571},
{Epoch 30, Train_Loss: 22.360679626464844, Valid_Loss: 13.67320442199707, Accuracy: 82.61703760552571},
{Epoch 31, Train_Loss: 17.16790199279785, Valid_Loss: 16.21861457824707, Accuracy: 82.61703760552571},
{Epoch 32, Train_Loss: 21.94490623474121, Valid_Loss: 6.593804836273193, Accuracy: 82.61703760552571},
{Epoch 33, Train_Loss: 24.44112205505371, Valid_Loss: 18.881784439086914, Accuracy: 82.61703760552571},
{Epoch 34, Train_Loss: 28.699899673461914, Valid_Loss: 23.544591903686523, Accuracy: 82.61703760552571},
{Epoch 35, Train_Loss: 23.50811767578125, Valid_Loss: 20.0, Accuracy: 82.61703760552571},
{Epoch 36, Train_Loss: 21.151086807250977, Valid_Loss: 19.053699493408203, Accuracy: 82.61703760552571},
{Epoch 37, Train_Loss: 11.697953224182129, Valid_Loss: 20.903505325317383, Accuracy: 82.61703760552571},
