{Epoch 0, Train_Loss: 0.9386559724807739, Valid_Loss: 0.8933021426200867, Accuracy: 82.61703760552571},
{Epoch 1, Train_Loss: 0.698443591594696, Valid_Loss: 0.5301029086112976, Accuracy: 82.61703760552571},
{Epoch 2, Train_Loss: 0.8961383700370789, Valid_Loss: 0.8755950927734375, Accuracy: 82.61703760552571},
{Epoch 3, Train_Loss: 0.8988426327705383, Valid_Loss: 0.5704906582832336, Accuracy: 82.69378357636224},
{Epoch 4, Train_Loss: 0.6241657137870789, Valid_Loss: 0.5080506801605225, Accuracy: 82.54029163468918},
{Epoch 5, Train_Loss: 1.1703615188598633, Valid_Loss: 0.7821632623672485, Accuracy: 82.50191864927092},
{Epoch 6, Train_Loss: 0.2945396602153778, Valid_Loss: 0.5491135716438293, Accuracy: 82.65541059094397},
{Epoch 7, Train_Loss: 0.6871879696846008, Valid_Loss: 0.6998854875564575, Accuracy: 82.42517267843438},
{Epoch 8, Train_Loss: 0.5779109001159668, Valid_Loss: 0.6276941299438477, Accuracy: 82.9623944742901},
{Epoch 9, Train_Loss: 0.7028340697288513, Valid_Loss: 0.7421054840087891, Accuracy: 82.57866462010745},
{Epoch 10, Train_Loss: 0.2825344204902649, Valid_Loss: 0.5763753652572632, Accuracy: 82.77052954719878},
{Epoch 11, Train_Loss: 0.7507831454277039, Valid_Loss: 0.5826354026794434, Accuracy: 82.88564850345357},
{Epoch 12, Train_Loss: 0.8541196584701538, Valid_Loss: 0.4872705936431885, Accuracy: 82.69378357636224},
{Epoch 13, Train_Loss: 0.8194679617881775, Valid_Loss: 0.609926700592041, Accuracy: 83.03914044512663},
{Epoch 14, Train_Loss: 0.5491731762886047, Valid_Loss: 0.5982981324195862, Accuracy: 82.8472755180353},
{Epoch 15, Train_Loss: 0.664630115032196, Valid_Loss: 0.3551671504974365, Accuracy: 82.73215656178051},
{Epoch 16, Train_Loss: 0.8632623553276062, Valid_Loss: 0.5397205948829651, Accuracy: 82.92402148887183},
{Epoch 17, Train_Loss: 0.45303645730018616, Valid_Loss: 0.6242695450782776, Accuracy: 82.19493476592478},
{Epoch 18, Train_Loss: 0.8418380618095398, Valid_Loss: 0.5354006290435791, Accuracy: 82.38679969301612},
{Epoch 19, Train_Loss: 0.4597453474998474, Valid_Loss: 0.6920679807662964, Accuracy: 82.77052954719878},
{Epoch 20, Train_Loss: 0.42726626992225647, Valid_Loss: 0.4797067940235138, Accuracy: 82.73215656178051},
{Epoch 21, Train_Loss: 0.5032199025154114, Valid_Loss: 0.6214349865913391, Accuracy: 82.65541059094397},
{Epoch 22, Train_Loss: 0.7250267863273621, Valid_Loss: 0.3587460219860077, Accuracy: 82.50191864927092},
{Epoch 23, Train_Loss: 0.6861019134521484, Valid_Loss: 0.850177526473999, Accuracy: 82.80890253261704},
{Epoch 24, Train_Loss: 0.6964401602745056, Valid_Loss: 0.7923222184181213, Accuracy: 83.23100537221796},
{Epoch 25, Train_Loss: 0.795896053314209, Valid_Loss: 0.48096904158592224, Accuracy: 82.9623944742901},
{Epoch 26, Train_Loss: 0.4730481207370758, Valid_Loss: 0.5559056997299194, Accuracy: 83.00076745970837},
{Epoch 27, Train_Loss: 0.409164160490036, Valid_Loss: 0.5017080307006836, Accuracy: 82.80890253261704},
{Epoch 28, Train_Loss: 0.5344594120979309, Valid_Loss: 0.45020991563796997, Accuracy: 82.80890253261704},
{Epoch 29, Train_Loss: 0.4505137503147125, Valid_Loss: 0.35224449634552, Accuracy: 82.38679969301612},
{Epoch 30, Train_Loss: 0.25053733587265015, Valid_Loss: 0.7565655708312988, Accuracy: 83.23100537221796},
{Epoch 31, Train_Loss: 0.3804294168949127, Valid_Loss: 0.5049624443054199, Accuracy: 82.80890253261704},
{Epoch 32, Train_Loss: 0.47028565406799316, Valid_Loss: 0.43091753125190735, Accuracy: 83.00076745970837},
{Epoch 33, Train_Loss: 0.6220898032188416, Valid_Loss: 0.929583728313446, Accuracy: 82.54029163468918},
{Epoch 34, Train_Loss: 0.6176632642745972, Valid_Loss: 0.6053421497344971, Accuracy: 82.88564850345357},
{Epoch 35, Train_Loss: 0.3815974295139313, Valid_Loss: 0.635348916053772, Accuracy: 82.23330775134305},
{Epoch 36, Train_Loss: 0.4743621349334717, Valid_Loss: 0.6176763772964478, Accuracy: 82.54029163468918},
{Epoch 37, Train_Loss: 0.6303057670593262, Valid_Loss: 0.3774333894252777, Accuracy: 82.50191864927092},
{Epoch 38, Train_Loss: 0.5076025128364563, Valid_Loss: 0.5683394074440002, Accuracy: 82.50191864927092},
{Epoch 39, Train_Loss: 0.4522014558315277, Valid_Loss: 0.5687387585639954, Accuracy: 83.0775134305449},
{Epoch 40, Train_Loss: 0.29218024015426636, Valid_Loss: 0.47465524077415466, Accuracy: 81.81120491174214},
{Epoch 41, Train_Loss: 0.48376017808914185, Valid_Loss: 0.6179943084716797, Accuracy: 82.88564850345357},
{Epoch 42, Train_Loss: 0.24978592991828918, Valid_Loss: 0.6914534568786621, Accuracy: 82.27168073676133},
{Epoch 43, Train_Loss: 0.22782102227210999, Valid_Loss: 0.5789876580238342, Accuracy: 82.07981580967},
{Epoch 44, Train_Loss: 0.2945084571838379, Valid_Loss: 0.5011154413223267, Accuracy: 83.19263238679969},
{Epoch 45, Train_Loss: 1.3209189176559448, Valid_Loss: 1.1248294115066528, Accuracy: 82.73215656178051},
{Epoch 46, Train_Loss: 0.3734340965747833, Valid_Loss: 0.9046763777732849, Accuracy: 82.46354566385264},
{Epoch 47, Train_Loss: 0.6098631620407104, Valid_Loss: 0.7979202270507812, Accuracy: 82.19493476592478},
{Epoch 48, Train_Loss: 0.24308528006076813, Valid_Loss: 0.9955743551254272, Accuracy: 82.31005372217959},
{Epoch 49, Train_Loss: 0.21396838128566742, Valid_Loss: 0.9852104783058167, Accuracy: 82.88564850345357},
{Epoch 50, Train_Loss: 0.3112463057041168, Valid_Loss: 0.7555367946624756, Accuracy: 82.11818879508826},
{Epoch 51, Train_Loss: 0.4038305878639221, Valid_Loss: 0.4392074942588806, Accuracy: 82.11818879508826},
{Epoch 52, Train_Loss: 0.09683768451213837, Valid_Loss: 0.5950546264648438, Accuracy: 82.46354566385264},
{Epoch 53, Train_Loss: 0.12797510623931885, Valid_Loss: 1.184545636177063, Accuracy: 82.34842670759785},
{Epoch 54, Train_Loss: 0.1728258579969406, Valid_Loss: 0.6793717741966248, Accuracy: 81.15886415963162},
{Epoch 55, Train_Loss: 0.3192497789859772, Valid_Loss: 0.6958330273628235, Accuracy: 82.42517267843438},
{Epoch 56, Train_Loss: 0.34094345569610596, Valid_Loss: 0.8214589953422546, Accuracy: 82.61703760552571},
{Epoch 57, Train_Loss: 0.3640593886375427, Valid_Loss: 0.6613715291023254, Accuracy: 81.65771297006907},
{Epoch 58, Train_Loss: 0.20634186267852783, Valid_Loss: 0.7088848352432251, Accuracy: 80.54489639293936},
{Epoch 59, Train_Loss: 0.2543651759624481, Valid_Loss: 1.2006953954696655, Accuracy: 81.19723714504988},
{Epoch 60, Train_Loss: 0.3496369421482086, Valid_Loss: 0.9033257961273193, Accuracy: 82.38679969301612},
{Epoch 61, Train_Loss: 0.17430713772773743, Valid_Loss: 0.8500154614448547, Accuracy: 82.00306983883345},
{Epoch 62, Train_Loss: 0.5599233508110046, Valid_Loss: 1.5075668096542358, Accuracy: 81.96469685341519},
{Epoch 63, Train_Loss: 0.15699493885040283, Valid_Loss: 1.0446239709854126, Accuracy: 82.65541059094397},
{Epoch 64, Train_Loss: 0.3737904727458954, Valid_Loss: 1.2274128198623657, Accuracy: 81.15886415963162},
{Epoch 65, Train_Loss: 0.22507433593273163, Valid_Loss: 0.5160362124443054, Accuracy: 82.27168073676133},
{Epoch 66, Train_Loss: 0.13010679185390472, Valid_Loss: 0.49051424860954285, Accuracy: 81.46584804297774},
{Epoch 67, Train_Loss: 0.23430894315242767, Valid_Loss: 0.8757988214492798, Accuracy: 81.69608595548733},
{Epoch 68, Train_Loss: 0.259397953748703, Valid_Loss: 1.0310720205307007, Accuracy: 81.19723714504988},
{Epoch 69, Train_Loss: 0.2253628522157669, Valid_Loss: 0.6270414590835571, Accuracy: 81.7344589409056},
{Epoch 70, Train_Loss: 0.22622956335544586, Valid_Loss: 0.7013809084892273, Accuracy: 80.66001534919417},
{Epoch 71, Train_Loss: 0.26357144117355347, Valid_Loss: 0.888218104839325, Accuracy: 82.31005372217959},
{Epoch 72, Train_Loss: 0.3151894807815552, Valid_Loss: 0.956451416015625, Accuracy: 80.66001534919417},
{Epoch 73, Train_Loss: 0.25683385133743286, Valid_Loss: 0.9186854958534241, Accuracy: 81.54259401381428},
{Epoch 74, Train_Loss: 0.2086188644170761, Valid_Loss: 1.837448239326477, Accuracy: 80.89025326170376},
{Epoch 75, Train_Loss: 0.2680008113384247, Valid_Loss: 1.1917638778686523, Accuracy: 80.96699923254029},
{Epoch 76, Train_Loss: 0.21556372940540314, Valid_Loss: 1.5989779233932495, Accuracy: 82.04144282425173},
{Epoch 77, Train_Loss: 0.16262301802635193, Valid_Loss: 1.3848998546600342, Accuracy: 82.42517267843438},
{Epoch 78, Train_Loss: 0.16150161623954773, Valid_Loss: 1.0808712244033813, Accuracy: 80.66001534919417},
{Epoch 79, Train_Loss: 0.16250470280647278, Valid_Loss: 0.6412004232406616, Accuracy: 80.96699923254029},
{Epoch 80, Train_Loss: 0.2843511998653412, Valid_Loss: 1.154703974723816, Accuracy: 81.19723714504988},
{Epoch 81, Train_Loss: 0.28416958451271057, Valid_Loss: 1.161097526550293, Accuracy: 81.65771297006907},
{Epoch 82, Train_Loss: 0.15293890237808228, Valid_Loss: 0.4912796914577484, Accuracy: 79.70069071373753},
{Epoch 83, Train_Loss: 0.37295007705688477, Valid_Loss: 0.6131866574287415, Accuracy: 80.6216423637759},
{Epoch 84, Train_Loss: 0.18772852420806885, Valid_Loss: 1.1491564512252808, Accuracy: 82.15656178050652},
