{Epoch 0, Train_Loss: 1.2159122228622437, Valid_Loss: 0.8836443424224854, Accuracy: 82.61703760552571},
{Epoch 1, Train_Loss: 1.7801103591918945, Valid_Loss: 1.4065874814987183, Accuracy: 82.61703760552571},
{Epoch 2, Train_Loss: 1.273441195487976, Valid_Loss: 1.3209497928619385, Accuracy: 82.61703760552571},
{Epoch 3, Train_Loss: 1.2993206977844238, Valid_Loss: 1.378200888633728, Accuracy: 82.61703760552571},
{Epoch 4, Train_Loss: 0.73745197057724, Valid_Loss: 1.4019259214401245, Accuracy: 82.61703760552571},
{Epoch 5, Train_Loss: 0.6151646971702576, Valid_Loss: 1.0033327341079712, Accuracy: 82.61703760552571},
{Epoch 6, Train_Loss: 0.9643123149871826, Valid_Loss: 1.3537235260009766, Accuracy: 82.61703760552571},
{Epoch 7, Train_Loss: 1.1164250373840332, Valid_Loss: 1.0609921216964722, Accuracy: 82.61703760552571},
{Epoch 8, Train_Loss: 1.704389214515686, Valid_Loss: 1.1209478378295898, Accuracy: 82.61703760552571},
{Epoch 9, Train_Loss: 0.8267147541046143, Valid_Loss: 1.3283100128173828, Accuracy: 82.61703760552571},
{Epoch 10, Train_Loss: 1.947376012802124, Valid_Loss: 1.0940742492675781, Accuracy: 82.61703760552571},
{Epoch 11, Train_Loss: 1.3356904983520508, Valid_Loss: 0.7567704319953918, Accuracy: 82.61703760552571},
{Epoch 12, Train_Loss: 0.6509480476379395, Valid_Loss: 1.4078919887542725, Accuracy: 82.61703760552571},
{Epoch 13, Train_Loss: 1.0400069952011108, Valid_Loss: 0.8017537593841553, Accuracy: 82.61703760552571},
{Epoch 14, Train_Loss: 1.028395414352417, Valid_Loss: 0.7249595522880554, Accuracy: 82.61703760552571},
{Epoch 15, Train_Loss: 0.7750917077064514, Valid_Loss: 1.1234043836593628, Accuracy: 82.61703760552571},
{Epoch 16, Train_Loss: 2.238473892211914, Valid_Loss: 1.1589568853378296, Accuracy: 82.61703760552571},
{Epoch 17, Train_Loss: 1.0034500360488892, Valid_Loss: 1.2795917987823486, Accuracy: 82.61703760552571},
{Epoch 18, Train_Loss: 1.1350312232971191, Valid_Loss: 1.0664422512054443, Accuracy: 82.61703760552571},
{Epoch 19, Train_Loss: 0.6094667911529541, Valid_Loss: 0.4185655117034912, Accuracy: 82.61703760552571},
{Epoch 20, Train_Loss: 0.8705080151557922, Valid_Loss: 1.1657658815383911, Accuracy: 82.61703760552571},
{Epoch 21, Train_Loss: 0.773208737373352, Valid_Loss: 1.3127728700637817, Accuracy: 82.61703760552571},
{Epoch 22, Train_Loss: 0.6604639887809753, Valid_Loss: 0.9672292470932007, Accuracy: 82.61703760552571},
{Epoch 23, Train_Loss: 0.9203304648399353, Valid_Loss: 0.9955885410308838, Accuracy: 82.61703760552571},
{Epoch 24, Train_Loss: 0.8632929921150208, Valid_Loss: 1.2183548212051392, Accuracy: 82.61703760552571},
{Epoch 25, Train_Loss: 1.3038116693496704, Valid_Loss: 0.8086522817611694, Accuracy: 82.61703760552571},
{Epoch 26, Train_Loss: 0.8346424102783203, Valid_Loss: 1.4949846267700195, Accuracy: 82.61703760552571},
{Epoch 27, Train_Loss: 1.2676182985305786, Valid_Loss: 0.7692939639091492, Accuracy: 82.61703760552571},
{Epoch 28, Train_Loss: 0.7626186013221741, Valid_Loss: 1.2180832624435425, Accuracy: 82.61703760552571},
{Epoch 29, Train_Loss: 1.5590505599975586, Valid_Loss: 0.8782466650009155, Accuracy: 82.61703760552571},
{Epoch 30, Train_Loss: 0.4505229890346527, Valid_Loss: 0.6242727637290955, Accuracy: 82.61703760552571},
{Epoch 31, Train_Loss: 0.7921972274780273, Valid_Loss: 1.40895414352417, Accuracy: 82.61703760552571},
{Epoch 32, Train_Loss: 1.700134515762329, Valid_Loss: 0.860359787940979, Accuracy: 82.61703760552571},
{Epoch 33, Train_Loss: 1.2727763652801514, Valid_Loss: 0.8814226984977722, Accuracy: 82.61703760552571},
{Epoch 34, Train_Loss: 0.4069937467575073, Valid_Loss: 0.7580329775810242, Accuracy: 82.61703760552571},
{Epoch 35, Train_Loss: 1.3270609378814697, Valid_Loss: 0.6594921350479126, Accuracy: 82.61703760552571},
{Epoch 36, Train_Loss: 1.0112732648849487, Valid_Loss: 1.296972393989563, Accuracy: 82.61703760552571},
{Epoch 37, Train_Loss: 1.2066447734832764, Valid_Loss: 0.8567672371864319, Accuracy: 82.61703760552571},
{Epoch 38, Train_Loss: 0.6808396577835083, Valid_Loss: 0.886807918548584, Accuracy: 82.61703760552571},
{Epoch 39, Train_Loss: 1.0401562452316284, Valid_Loss: 0.9159332513809204, Accuracy: 82.61703760552571},
{Epoch 40, Train_Loss: 1.5201324224472046, Valid_Loss: 0.9115562438964844, Accuracy: 82.61703760552571},
{Epoch 41, Train_Loss: 0.9789679646492004, Valid_Loss: 0.6601381897926331, Accuracy: 82.61703760552571},
{Epoch 42, Train_Loss: 1.236820101737976, Valid_Loss: 0.6529874205589294, Accuracy: 82.61703760552571},
{Epoch 43, Train_Loss: 1.043890357017517, Valid_Loss: 0.5750448703765869, Accuracy: 82.61703760552571},
{Epoch 44, Train_Loss: 0.7185260057449341, Valid_Loss: 0.7649036049842834, Accuracy: 82.61703760552571},
{Epoch 45, Train_Loss: 0.9604160189628601, Valid_Loss: 1.3805657625198364, Accuracy: 82.61703760552571},
{Epoch 46, Train_Loss: 0.8305523991584778, Valid_Loss: 0.9992169141769409, Accuracy: 82.61703760552571},
{Epoch 47, Train_Loss: 0.8379753232002258, Valid_Loss: 0.7716322541236877, Accuracy: 82.61703760552571},
{Epoch 48, Train_Loss: 0.5070773363113403, Valid_Loss: 0.7675225734710693, Accuracy: 82.61703760552571},
{Epoch 49, Train_Loss: 1.4188157320022583, Valid_Loss: 0.7498108148574829, Accuracy: 82.61703760552571},
{Epoch 50, Train_Loss: 0.7048675417900085, Valid_Loss: 1.2101585865020752, Accuracy: 82.61703760552571},
{Epoch 51, Train_Loss: 1.054560661315918, Valid_Loss: 1.2796814441680908, Accuracy: 82.61703760552571},
