{Epoch 0, Train_Loss: 1.4151610136032104, Valid_Loss: 1.0554165840148926, Accuracy: 49.58},
{Epoch 1, Train_Loss: 1.7910988330841064, Valid_Loss: 1.2308382987976074, Accuracy: 59.26},
{Epoch 2, Train_Loss: 1.2981981039047241, Valid_Loss: 0.6566895842552185, Accuracy: 65.6},
{Epoch 3, Train_Loss: 0.3051729202270508, Valid_Loss: 1.115030288696289, Accuracy: 67.86},
{Epoch 4, Train_Loss: 1.4435745477676392, Valid_Loss: 0.7521985769271851, Accuracy: 72.84},
{Epoch 5, Train_Loss: 0.7093220353126526, Valid_Loss: 0.3698488473892212, Accuracy: 74.82},
{Epoch 6, Train_Loss: 0.7277876138687134, Valid_Loss: 0.6079628467559814, Accuracy: 75.86},
{Epoch 7, Train_Loss: 0.20355312526226044, Valid_Loss: 0.5266608595848083, Accuracy: 77.08},
{Epoch 8, Train_Loss: 0.39910072088241577, Valid_Loss: 1.074263572692871, Accuracy: 76.2},
{Epoch 9, Train_Loss: 0.7970187067985535, Valid_Loss: 0.17791779339313507, Accuracy: 77.76},
{Epoch 10, Train_Loss: 0.622748076915741, Valid_Loss: 0.7699072957038879, Accuracy: 77.16},
{Epoch 11, Train_Loss: 0.8056806325912476, Valid_Loss: 1.3554714918136597, Accuracy: 77.42},
{Epoch 12, Train_Loss: 0.1115846112370491, Valid_Loss: 2.0495355129241943, Accuracy: 76.92},
{Epoch 13, Train_Loss: 0.6523488759994507, Valid_Loss: 0.8281928896903992, Accuracy: 77.98},
{Epoch 14, Train_Loss: 0.7353094816207886, Valid_Loss: 1.8932896852493286, Accuracy: 76.32},
{Epoch 15, Train_Loss: 0.13313031196594238, Valid_Loss: 0.10941453278064728, Accuracy: 77.32},
{Epoch 16, Train_Loss: 0.9288678765296936, Valid_Loss: 1.5348231792449951, Accuracy: 78.24},
{Epoch 17, Train_Loss: 0.9678542613983154, Valid_Loss: 0.0634312704205513, Accuracy: 78.5},
{Epoch 18, Train_Loss: 0.15836751461029053, Valid_Loss: 1.5059151649475098, Accuracy: 78.78},
{Epoch 19, Train_Loss: 0.18284273147583008, Valid_Loss: 0.5861894488334656, Accuracy: 78.84},
{Epoch 20, Train_Loss: 0.04472397267818451, Valid_Loss: 1.0584805011749268, Accuracy: 80.46},
{Epoch 21, Train_Loss: 0.02846209518611431, Valid_Loss: 0.7794860601425171, Accuracy: 79.64},
{Epoch 22, Train_Loss: 0.6924704909324646, Valid_Loss: 0.7101279497146606, Accuracy: 80.44},
{Epoch 23, Train_Loss: 0.6524702310562134, Valid_Loss: 3.5897836685180664, Accuracy: 78.98},
{Epoch 24, Train_Loss: 0.38820552825927734, Valid_Loss: 0.6667078137397766, Accuracy: 78.62},
{Epoch 25, Train_Loss: 0.20034974813461304, Valid_Loss: 0.5523784756660461, Accuracy: 78.24},
{Epoch 26, Train_Loss: 0.410783976316452, Valid_Loss: 2.0924105644226074, Accuracy: 79.14},
{Epoch 27, Train_Loss: 0.9527848958969116, Valid_Loss: 0.9967972040176392, Accuracy: 78.1},
{Epoch 28, Train_Loss: 0.31253254413604736, Valid_Loss: 2.130354642868042, Accuracy: 77.58},
{Epoch 29, Train_Loss: 0.4271687865257263, Valid_Loss: 1.2364985942840576, Accuracy: 78.06},
{Epoch 30, Train_Loss: 0.11849456280469894, Valid_Loss: 0.541120707988739, Accuracy: 79.2},
{Epoch 31, Train_Loss: 0.33274146914482117, Valid_Loss: 1.9226353168487549, Accuracy: 79.16},
{Epoch 32, Train_Loss: 0.7236642837524414, Valid_Loss: 0.9921560883522034, Accuracy: 79.42},
{Epoch 33, Train_Loss: 0.016964979469776154, Valid_Loss: 2.017235279083252, Accuracy: 80.6},
